"Age","m_i","psi_i"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.000911051194400645,0.000911051194400645
9,0.00156157196223413,0.00156157196223413
10,0.00422022776765008,0.00456729488932652
11,0.0112933590378067,0.0122266340384828
12,0.0294396632154752,0.0319099932739178
13,0.0717770488445508,0.0784642191929944
14,0.149738499347878,0.167318866270531
15,0.231058578630005,0.275197341021533
16,0.231058578630005,0.330219815878539
17,0.149738499347877,0.332309253314206
18,0.0717770488445511,0.333888533130359
19,0.0294396632154751,0.337926587379435
20,0.0112933590378068,0.339145320643042
21,0.00669285092428473,0.341556169168618
22,0,0.337260614315895
23,0,0.339428657843143
24,0,0.339222201447426
25,0,0.338951206189283
26,0,0.339167712648093
27,0,0.338991138070221
28,0,0.33911782927335
29,0,0.33906920288168
30,0,0.339065254240127
31,0,0.339082508188208
32,0,0.339069282406386
33,0,0.339076818538521
34,0,0.339073523308562
35,0,0.339074004133968
36,0,0.339074788774793
37,0,0.339073900411895
38,0,0.339074455970464
39,0,0.339074216371642
40,0,0.339074267264825
41,0,0.33907430045303
42,0,0.339074249233125
43,0,0.33907428708224
44,0,0.339074268521946
45,0,0.339074273595516
46,0,0.339074274867165
47,0,0.339074271926563
48,0,0.339074274355602
49,0,0.33907427301328
50,0,0.339074273475099
51,0,0.339074273485481
52,0,0.339074273321103
53,0,0.339074273475494
54,0,0.339074273382172
55,0,0.339074273419765
56,0,0.33907427341528
57,0,0.339074273406858
58,0,0.33907427341645
59,0,0.339074273410079
60,0,0.339074273412968
