"Age","m_i","psi_i"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0.0322954646984505,0.0322954646984505
15,0.0295080015651381,0.0295080015651381
16,0.0532632657819612,0.0655662999527995
17,0.089173570238542,0.112410172008495
18,0.132021000311556,0.173290068063227
19,0.163738697404353,0.238451636766397
20,0.163738697404353,0.284765535279973
21,0.132021000311556,0.311193022910221
22,0.0891735702385419,0.324108344037824
23,0.0532632657819613,0.331249796761263
24,0.0295080015651381,0.335254463011232
25,0.0156691085905688,0.337118610090212
26,0.00813349325623736,0.338074490932581
27,0.00417212933173239,0.338555658727633
28,0.00432073351991191,0.341011346487663
29,0,0.337867232537813
30,0,0.339293114414261
31,0,0.339165798291041
32,0,0.338986276447341
33,0,0.339151051689013
34,0,0.339011243077008
35,0,0.339104009628334
36,0,0.339071807452966
37,0,0.339067601494824
38,0,0.339080311126317
39,0,0.339070522133497
40,0,0.339076142691884
41,0,0.339073781997799
42,0,0.339074038190727
43,0,0.339074659602896
44,0,0.339074000228821
45,0,0.339074406331864
46,0,0.3390742333932
47,0,0.339074266917159
48,0,0.339074294316146
49,0,0.339074255467523
50,0,0.339074283328
51,0,0.339074269965103
52,0,0.339074273439194
53,0,0.339074274545141
54,0,0.339074272297879
55,0,0.339074274103225
56,0,0.339074273128437
57,0,0.33907427345081
58,0,0.339074273470327
59,0,0.339074273343609
60,0,0.339074273458878
61,0,0.339074273390612
62,0,0.339074273417288
63,0,0.339074273414789
64,0,0.339074273408164
65,0,0.339074273415365
66,0,0.339074273410682
67,0,0.339074273412754
68,0,0.339074273412345
69,0,0.339074273412037
70,0,0.339074273412472
71,0,0.339074273412158
72,0,0.339074273412312
73,0,0.33907427341227
74,0,0.339074273412259
75,0,0.339074273412284
76,0,0.339074273412263
77,0,0.339074273412275
78,0,0.339074273412271
79,0,0.339074273412271
80,0,0.339074273412272
81,0,0.339074273412271
82,0,0.339074273412271
83,0,0.339074273412271
84,0,0.339074273412271
85,0,0.339074273412271
86,0,0.339074273412271
87,0,0.339074273412271
88,0,0.339074273412271
89,0,0.339074273412271
90,0,0.339074273412271
91,0,0.339074273412271
92,0,0.339074273412271
93,0,0.339074273412271
94,0,0.339074273412271
95,0,0.339074273412271
96,0,0.339074273412271
97,0,0.339074273412271
98,0,0.339074273412271
99,0,0.339074273412271
100,0,0.339074273412271
