"Age","Mean_Eggs_Produced","Median_Eggs_Produced"
8,17858.318181,16236
9,19196.992094,17391
10,20567.283412,18551
11,21929.431384,19704
12,23349.273147,20872
13,24775.181485,22051
14,26243.112479,23253
15,27685.861725,24417
16,29146.675514,25593
17,30671.10207,26770
18,32132.677344,27913
19,33675.717652,29107
20,35201.897505,30264
21,36758.493931,31421
22,38313.392992,32568
23,39869.348869,33715
24,41409.452362,34810
25,42992.587993,35958
26,44535.031404,36999
27,46151.906766,38157.5
28,47672.249444,39196
29,49359.17203,40263
30,50889.907976,41287
31,52537.711674,42378
32,54138.778261,43372
33,55773.740046,44454
34,57365.430908,45362
35,58985.373,46364
36,60526.523639,47267
37,62200.387027,48340
38,63870.551942,49211
39,65417.744692,50058
40,67086.641022,51030
41,68720.315557,51934
42,70346.882915,52692
43,71994.927989,53564
44,73619.967638,54426
45,75342.927798,55178
46,76795.549406,55889
47,78508.783422,56693
48,80057.355303,57402
49,81574.958313,58016
50,83282.142366,58835
51,85053.370229,59472
52,86523.365871,60202.5
53,88186.359248,60799
54,89790.523587,61470
55,91420.390483,61941
56,92923.744519,62680
57,94449.10539,63074
58,96010.703658,63580
59,97906.255913,64228
60,99150.910585,64733
