"Age","Mean_Eggs_Produced","Median_Eggs_Produced","Max_Eggs_Simulated","Min_Eggs_Simulated","Mean_Length","Median_Length","Proportion_Length_1400plus"
1,9450.811502,8717,68814,1457,199.994083181037,199.994652854401,0
2,10530.237327,9718,63108,1489,252.013879305577,251.968924289119,0
3,11653.05993,10727,67620,1398,300.548616934372,299.434348040436,0
4,12813.700823,11784,95615,1707,346.053196963862,343.073898204724,0
5,14026.246359,12861,86735,1848,388.824857072315,383.798395389893,0
6,15276.784311,13979,112021,2008,428.892833113718,421.717446568284,0
7,16538.559153,15094,116812,2012,466.834072297683,458.054061979315,0
8,17840.420798,16216,142038,2263,502.379902091699,491.868199013097,0
9,19190.203687,17376,155017,2617,536.130602127417,524.371290657455,0
10,20558.883658,18535,194265,2181,567.88030402176,554.905998957159,0
11,21941.11945,19721,186214,2550,598.183190998717,584.20224654041,0
12,23360.863512,20888,176410,2484,626.717207166343,612.071168139238,0
13,24751.647616,22039,197547,3196,653.40880892328,637.833065418709,0
14,26234.216005,23235,231437,3061,679.55726164678,663.538001902639,0
15,27691.456716,24392,280838,2949,703.690605634717,687.338680383032,0
16,29121.507247,25573,257497,2907,726.912014903054,710.310169027153,0
17,30661.00076,26778,260764,2460,749.279404824341,732.350170795783,0
18,32124.576587,27900.5,298542,2766,770.04147494534,753.415828020557,0
19,33653.526355,29084,350349,3090,790.598752401939,773.828282334264,0
20,35170.909758,30261,372226,3073,809.824843599478,793.145209775714,0
21,36763.560069,31433,556016,3072,828.289269778851,812.16473805955,0
22,38253.500703,32517,437602,2979,845.208163658458,829.128294670764,7e-06
23,39817.567958,33631,492152,3163,862.363633363131,846.788800980805,0.00039
24,41401.813986,34836,443495,3825,878.692956023995,863.398872425429,0.00255
25,42923.55695,35893,548502,3281,893.872372706532,879.181882825367,0.006151
26,44558.469924,37057,824174,3042,908.741396770428,894.634859625356,0.011035
27,46141.326485,38166,581430,3482,923.162631869446,909.341626274409,0.016659
28,47753.888832,39248,628630,3199,936.905781485028,923.534135550962,0.023225
29,49291.486852,40266,581139,3277,949.556898543674,936.558248608206,0.030199
30,50929.711136,41400,733109,3324,962.4673587122,949.784481203403,0.038034
31,52563.214102,42453,668533,2968,974.805155242582,962.859992842464,0.046447
32,54094.81876,43395,874472,3663,986.146150671341,974.169550342104,0.055372
33,55721.567489,44398,791129,3802,997.184900724664,985.446081488825,0.064786
34,57383.674424,45377,871886,3493,1008.19495583084,996.728876424471,0.074244
35,59067.542286,46421,841432,3178,1018.94726541476,1007.88211177924,0.084207
36,60604.069255,47329,986272,3764,1028.42218916976,1017.27035961248,0.093828
37,62236.668316,48340,886488,3437,1038.64790182264,1028.14058957507,0.10402
38,63785.042886,49198,1017985,2893,1047.55010716984,1036.92328565297,0.114014
39,65506.397278,50247,858311,3153,1056.84788362429,1046.36176851795,0.124731
40,67031.084416,51010,1000516,2944,1065.19038453725,1054.72757808757,0.134807
41,68780.202199,51874,981041,3456,1073.9174895396,1062.59642095183,0.146076
42,70385.079531,52830,1453106,3831,1082.22005091569,1071.48067367031,0.155629
43,71969.740207,53530,1401728,3455,1089.63060855335,1078.36723063317,0.165285
44,73562.079747,54414,1164604,3838,1097.22824870394,1085.6940103552,0.175266
45,75165.417181,55131,1297712,3311,1104.55667625957,1092.69021818171,0.185067
46,76778.003459,55866,1215993,3378,1111.48758787882,1099.52525264845,0.194562
47,78534.592672,56774,1433457,2251,1118.7890297882,1105.93243047054,0.20463
48,80143.085379,57402,1268497,2891,1125.59268580519,1112.36555572016,0.214217
49,81611.282662,58052,1440249,3251,1131.15464880076,1117.6733102618,0.22189
50,83345.435537,58910.5,1307193,2327,1138.31285365653,1124.91904196784,0.230941
51,84840.10937,59444,1505800,3297,1143.87004662884,1129.23369845627,0.238581
52,86544.678643,60157,1694030,3699,1149.8264320263,1135.50720442245,0.246605
53,88325.615528,60900,1687461,3171,1155.91067985177,1140.3385238327,0.254156
54,89764.701939,61489.5,1996084,3310,1161.30868242264,1144.99030151702,0.261706
