"Age","Mean_Eggs_Produced","Median_Eggs_Produced","Max_Eggs_Simulated","Min_Eggs_Simulated","Mean_Length","Median_Length","Proportion_Length_1400plus"
1,10970.430445,10089,73710,1570,270.455507475313,270.473413107948,0
2,11963.360397,10967,83353,1695,311.440655203816,311.430911516829,0
3,13024.254956,11923,95469,1603,351.443170211766,351.393070185588,0
4,14127.41941,12904,110251,1842,389.927743666256,389.878850561177,0
5,15278.871276,13946,123719,1393,427.243807466319,427.229008902978,0
6,16482.826267,15025.5,154545,2026,463.769098130654,463.789498414544,0
7,17737.426494,16155,115074,2081,498.949182814846,498.864153265805,0
8,19065.332913,17339,162772,2258,533.373065152453,533.241978595066,0
9,20439.36988,18568,192463,2180,566.384854063385,566.50047583357,0
10,21844.690511,19830,226103,2277,598.60314921404,598.710072131609,0
11,23309.267278,21142.5,181441,2361,629.737340560474,629.751700234207,0
12,24823.80158,22490,165949,2742,659.986365149612,659.968916568317,0
13,26417.711679,23920,202286,2878,689.439332387063,689.580622331179,0
14,28030.23538,25379,210214,3068,718.135919416083,718.150795292609,0
15,29686.263358,26825,223829,3474,745.59790157449,745.765166620801,0
16,31409.404209,28371,329266,3264,772.367205909253,772.395309276894,0
17,33167.20338,29916,253046,3115,798.414746410114,798.448759679699,0
18,34926.591114,31508,263653,3276,823.804686819707,823.8200400809,0
19,36799.346178,33180,285870,3589,848.198130826672,848.223305903702,1e-06
20,38648.937107,34823,297631,4234,871.746199806047,871.762912908413,1e-06
21,40555.560301,36524,390837,4172,894.751424925396,894.702998875638,8e-06
22,42457.317005,38210,363360,4225,917.066428478872,917.122619836734,1e-05
23,44444.077183,39982,424795,4658,938.785509515229,938.817931066495,2.9e-05
24,46431.073415,41732,395579,4843,959.887507032335,959.807114785872,8.2e-05
25,48499.46425,43555,391132,4717,980.19005842212,980.217154871126,0.000161
26,50482.669137,45350,398395,5145,999.891704105251,999.621742948294,0.000403
27,52595.325403,47181,417485,5026,1019.05323780409,1019.01919465066,0.000737
28,54681.756757,49064,472922,5222,1037.73899529579,1037.81644805373,0.001369
29,56765.355282,50872,451960,4837,1055.96423383659,1055.87314704714,0.002431
30,58884.784525,52758,479353,5237,1073.45043121527,1073.44261903607,0.003898
31,60959.067628,54564,627697,5250,1090.11784638222,1089.94845632054,0.006258
32,63110.041224,56481,542916,6151,1106.89996791463,1106.8298291538,0.009351
33,65287.968283,58390,577990,6288,1122.75382609637,1122.65079974703,0.013506
34,67455.348599,60333,732329,6729,1138.31414357158,1138.24722113106,0.019382
35,69650.983578,62193,534474,6610,1153.28306635531,1153.2898118706,0.026559
36,71753.311694,64129,579857,7529,1167.92388561788,1167.83128574462,0.035169
37,73866.061645,65948,632408,6339,1181.82982300941,1182.00400281713,0.045234
38,76046.482137,67859,750146,6862,1195.53635641176,1195.70413844835,0.057798
39,78175.885434,69718,718565,7317,1209.02195234662,1209.10208760903,0.072012
40,80346.561552,71621.5,699351,6966,1221.93578407498,1221.89765099868,0.087704
41,82474.457411,73531,643932,6875,1234.41545797088,1234.5579759384,0.105368
42,84592.483327,75399,772573,6399,1246.80558590682,1246.9202585677,0.124686
43,86730.899787,77278,778212,7102,1258.40293388446,1258.54972348955,0.144805
44,88759.136782,79042.5,759995,8510,1269.72273000846,1269.83491647055,0.166443
45,90923.313167,80854,795938,7405,1280.66193596833,1280.7379189771,0.188672
46,92987.955991,82681,980866,7821,1291.44917136559,1291.39536078094,0.212545
47,95024.571967,84450,880138,7949,1302.18305128225,1302.09930279088,0.23708
48,97034.783955,86204,1209115,8606,1312.10947538212,1311.94531451585,0.260663
49,99151.245045,88067,1154888,8724,1322.21110017142,1322.22018883338,0.286663
50,101173.458698,89777,1026163,8575,1331.50915672147,1331.66638824329,0.310639
51,103141.949225,91517,1042689,8650,1340.82354758391,1340.7144364923,0.335616
52,105018.072402,93174,1061063,6565,1349.65465507833,1349.81817387949,0.359504
53,106950.722666,94916,990947,9359,1358.43265925547,1358.56232810761,0.383596
54,108977.625557,96495,1095762,8920,1366.842769891,1366.88924408294,0.406943
55,110828.808524,98141,1251581,8608,1375.0610356386,1374.9871883743,0.430116
56,112620.201341,99769,1123392,10364,1382.94524761104,1382.81368857032,0.452105
57,114441.69879,101386,1183644,10974,1390.49905914804,1390.56448925641,0.473801
58,116350.13129,102950,1000908,8464,1398.05477114438,1397.94152433292,0.494188
59,118102.433533,104544,1076193,10071,1405.22580059419,1405.23634229295,0.514448
60,119871.557849,106020.5,1176726,9815,1412.33249493143,1412.38097933618,0.533782
61,121532.018075,107477,1187158,10998,1418.98833510384,1418.93559250832,0.551201
62,123228.434447,109034,1170567,9984,1425.70850663297,1425.53127986687,0.569561
63,124975.698433,110505.5,1170638,11363,1432.21266345702,1432.22792903919,0.586823
64,126710.107519,111874,1447619,8122,1438.29416052289,1438.47984381396,0.602422
65,128403.598656,113411,1302203,9344,1444.62221935023,1444.72706947474,0.618489
66,129948.350144,114706,1218818,12017,1450.32135680433,1450.33795114562,0.633232
67,131412.32043,115967,1234450,11456,1455.93852560704,1455.87029918082,0.646496
68,133010.929352,117354,1509038,11425,1461.33978700704,1461.32898083445,0.658669
69,134527.51009,118608,1353061,6460,1466.73779318543,1466.56581278751,0.671375
70,136073.013102,119946.5,1651283,9653,1472.26641723521,1472.26826508669,0.684578
71,137525.212961,121186,1570934,10219,1477.06439786437,1476.75978264969,0.695413
72,138750.013761,122270,1189923,10829,1481.74725642962,1481.80016106904,0.705357
73,140397.504694,123714,1797514,8598,1486.57638733821,1486.52876082439,0.715607
74,141662.83001,124702.5,1348018,10916,1490.99613883424,1490.73793136616,0.724043
75,142970.699928,125836.5,1344460,12449,1495.62879047901,1495.72342741939,0.733751
76,144381.442516,126932,1393356,11595,1499.98839140404,1499.97230446138,0.74243
77,145617.223805,128045,1245216,10317,1503.83154046758,1503.7856040935,0.750114
78,146880.423183,129157,1534037,10999,1508.00657193141,1508.19936538537,0.757838
79,148143.430546,130322,1332889,12274,1511.89919578546,1511.85187600663,0.765024
80,149616.543821,131525,1454318,12836,1516.26470795853,1516.26343987835,0.772682
81,150332.876088,132121,2081949,9635,1519.27919467379,1519.14796265914,0.77836
82,151616.871129,133249,1410566,11663,1523.11118821955,1523.16811684327,0.784684
83,152741.260365,134155.5,1668071,7667,1526.40594262387,1526.203499687,0.790273
84,153864.97454,135062,1722987,13432,1529.73917449453,1529.68442216487,0.795823
85,155102.282488,136002,1461544,11782,1533.21977734418,1533.07563608445,0.800928
86,156065.771809,136928,1691413,11035,1536.32892559412,1536.28944554277,0.805955
87,157173.807501,137797,1951207,13195,1539.48408806622,1539.18241338728,0.810373
88,158109.165883,138644,2170130,12129,1542.59514921581,1542.68377456551,0.815195
89,159186.445546,139519,1690568,10924,1545.5005979003,1545.6251933633,0.819205
90,160235.286482,140351,1712970,11151,1548.12116793984,1547.86504508858,0.82336
91,161182.309835,141111.5,1463229,11042,1551.00271993243,1550.79297461565,0.826818
92,162106.335921,141941,1397687,12200,1553.79328345459,1553.6751297232,0.830606
93,162877.411301,142621.5,1934704,11156,1556.00432315751,1555.93952549932,0.83392
94,163827.782933,143298,2037464,9562,1558.62213951815,1558.45902765434,0.836667
95,164855.815447,144343,1574407,12610,1561.38088245717,1561.26344365949,0.840683
96,165585.172072,144687,1867788,11285,1563.68078486771,1563.53409213113,0.843414
97,166284.488496,145354,1874765,13952,1565.59408688914,1565.69643602964,0.845438
98,167157.143622,146079,1813945,14451,1567.843157199,1567.81409767598,0.848055
99,167896.951952,146697.5,1698127,11212,1569.87960442081,1569.83947334462,0.851044
