"Age","Mean_Eggs_Produced","Median_Eggs_Produced","Mean_Length","Median_Length","Proportion_Length_1400plus"
1,9455.281642,8721,200.022841275101,200.028592908836,0
2,10771.330888,9936,263.055767786574,262.828301204434,0
3,12179.098188,11212,322.036777199544,320.208362204822,0
4,13675.996803,12558,377.200580808093,373.083953422668,0
5,15280.674704,13973,429.047976305587,422.73114046381,0
6,16940.086682,15425,477.661239375868,469.200558898774,0
7,18693.032078,16936,523.384512525154,512.685722164668,0
8,20493.171055,18493,566.375461800505,553.937867026102,0
9,22384.62933,20089,607.2509297765,593.022927614747,0
10,24337.592428,21724,645.743986186867,630.071136569508,0
11,26322.034587,23358,682.196136259939,665.293812570174,0
12,28393.076379,25034,716.475621835953,698.464942599971,0
13,30522.027634,26764,749.351610109826,730.600763986161,0
14,32726.778681,28504,780.618179105602,761.009961789686,0
15,34956.933272,30239,809.848458328451,789.600518361013,0
16,37202.081234,31956,837.721606678558,817.007367768205,0
17,39551.80968,33741,864.491827672245,843.585551696348,2.7e-05
18,41906.909137,35517,889.99642450079,868.882186671407,0.001654
19,44370.794462,37304,914.317524273767,893.331619187125,0.006891
20,46847.899153,39119,937.466823174884,916.434657040971,0.014512
21,49309.466686,40866,959.471227913881,938.77069481982,0.023766
22,51876.069885,42730,980.706411204727,960.446552166185,0.034571
23,54482.71469,44563.5,1001.37794882243,981.498783828545,0.047325
24,57155.758777,46338,1020.70084389805,1001.2976567177,0.061368
25,59744.649338,48140,1038.90512688223,1019.87595392052,0.075868
26,62452.081144,49822,1056.92565816389,1038.31177093857,0.092009
27,65152.987274,51646.5,1073.75483899631,1055.56472653374,0.107836
28,67915.900219,53446,1089.56924114125,1072.28203901312,0.123346
29,70651.474257,55110,1105.66909370999,1088.55269661753,0.141265
30,73636.257325,56985,1121.00647237298,1104.38775546348,0.158825
31,76402.065836,58626.5,1135.30950057492,1119.27352108372,0.17592
32,79431.166543,60428,1150.07804149475,1134.73997853258,0.19413
33,82195.882868,62055,1162.90922365881,1147.71740239593,0.210451
34,85255.870674,63799,1176.07778829262,1161.05321094901,0.227817
35,88123.360486,65457,1188.32787055001,1173.60312365717,0.243553
36,91113.904184,66988,1200.03846151812,1185.69723276547,0.259518
37,94213.235013,68664,1212.1368028293,1197.94396090073,0.275875
38,97212.112039,70345,1223.20503641238,1209.34629601383,0.290663
39,100499.21033,71947,1234.53108821514,1221.03605600536,0.305845
40,103604.484308,73597.5,1245.2917074249,1231.52336630574,0.32046
41,106602.208398,74966,1254.88492487508,1241.31440230219,0.332899
42,109767.311113,76462,1264.62273555275,1250.49551939841,0.345545
43,113069.460873,77820,1274.26509624462,1260.6505395057,0.357983
44,116074.692057,79176,1282.66330496029,1268.45751186015,0.367956
45,119324.779048,80653,1291.70331127601,1277.38558824038,0.378965
46,122542.126467,81965,1300.12681810031,1285.05908870612,0.388582
47,125754.78126,83270,1308.18838660277,1293.42074158222,0.397599
48,129165.438836,84755.5,1317.00237556031,1301.97971226294,0.40726
49,132218.206511,85894.5,1323.5076920263,1307.14915813042,0.413774
50,135502.648156,87105,1331.23120660775,1314.87205064592,0.422511
51,138833.238762,88427.5,1338.93590928339,1322.52873680574,0.430166
52,142078.172798,89570,1345.73926527107,1328.3022623392,0.436254
53,145720.877651,90690,1353.10641847449,1334.48615952208,0.442666
54,149001.344745,91834.5,1359.31055975909,1340.25260114305,0.448508
55,152552.369059,93044.5,1365.9506283391,1346.3423374974,0.454701
56,155774.268856,93987,1371.98656287702,1351.46071079487,0.459203
57,159071.308748,94980,1377.77821940992,1355.92938324069,0.463727
58,162382.220765,95638,1383.01500555967,1360.28173805868,0.467652
59,165978.96184,96863.5,1389.70217912541,1365.57023597382,0.472414
60,169634.608074,97946,1395.86593119196,1371.25131046787,0.477186
