"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
"Green","Green",NA,"PIT Tag ","Big Sky Bend","Gavins Point","1F4A301354","1F4A4A1439",1998-08-11,1997-06-17,1997,57,"Yearling",57,2
"Red","Red",NA,"PIT Tag ","Big Sky Bend","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,47,"Yearling",47,2
"Orange","Orange",NA,"PIT Tag ","Big Sky Bend","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,54,"Yearling",54,2
"Yellow","Yellow",NA,"PIT Tag ","Big Sky Bend","Gavins Point","1F4A301354","7F7D291A07",1998-08-11,1997-06-17,1997,46,"Yearling",46,2
"Blue","Blue",NA,"PIT Tag ","Big Sky Bend","Gavins Point","1F4B246E04","7F7F06583D",1998-08-11,1997-06-17,1997,51,"Yearling",51,2
"Green","Green",NA,"PIT Tag ","Confluence","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,8,"Yearling",8,2
"Red","Red",NA,"PIT Tag ","Confluence","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,8,"Yearling",8,2
"Orange","Orange",NA,"PIT Tag ","Confluence","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,8,"Yearling",8,2
"Yellow","Yellow",NA,"PIT Tag ","Confluence","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,8,"Yearling",8,2
"Blue","Blue",NA,"PIT Tag ","Confluence","Gavins Point","1F4B246E04","7F7F06583D",1998-08-11,1997-06-17,1997,8,"Yearling",8,2
"Green","Green",NA,"PIT Tag ","Nohly Bridge","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,52,"Yearling",52,2
"Red","Red",NA,"PIT Tag ","Nohly Bridge","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,50,"Yearling",50,2
"Orange","Orange",NA,"PIT Tag ","Nohly Bridge","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,47,"Yearling",47,2
"Yellow","Yellow",NA,"PIT Tag ","Nohly Bridge","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,55,"Yearling",55,2
"Blue","Blue",NA,"PIT Tag ","Nohly Bridge","Gavins Point","1F4B246E04","7F7F06583D",1998-08-11,1997-06-17,1997,51,"Yearling",51,2
"Green","Green",NA,"PIT Tag ","Sidney","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,46,"Yearling",46,2
"Red","Red",NA,"PIT Tag ","Sidney","Gavins Point","1F4B246E04","1F4A4A1439",1998-08-11,1997-06-17,1997,46,"Yearling",46,2
"Orange","Orange",NA,"PIT Tag ","Sidney","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,46,"Yearling",46,2
"Yellow","Yellow",NA,"PIT Tag ","Sidney","Gavins Point","1F4B246E04","7F7D291A07",1998-08-11,1997-06-17,1997,46,"Yearling",46,2
"Blue","Blue",NA,"PIT Tag ","Sidney","Gavins Point","1F4B246E04","7F7F06583D",1998-08-11,1997-06-17,1997,46,"Yearling",46,2
NA,NA,NA,"PIT Tag","Culbertson","Gavins Point","7F7F056171","1F47760123",2000-10-11,1998-06-11,1998,17,"2 yr Old",17,2
NA,NA,NA,"PIT Tag","Culbertson","Gavins Point","7F7F056171","1F4A363031",2000-10-11,1998-06-11,1998,17,"2 yr Old",17,2
NA,NA,NA,"PIT Tag","Fairview","Gavins Point","7F7F056171","1F47760123",2000-10-11,1998-06-11,1998,33,"2 yr Old",33,2
NA,NA,NA,"PIT Tag","Fairview","Gavins Point","7F7F056171","1F4A363031",2000-10-11,1998-06-11,1998,33,"2 yr Old",33,2
NA,NA,NA,"PIT Tag","Sidney","Gavins Point","7F7F056171","1F47760123",2000-10-11,1998-06-11,1998,33,"2 yr Old",33,2
NA,NA,NA,"PIT Tag","Sidney","Gavins Point","7F7F056171","1F4A363031",2000-10-11,1998-06-11,1998,33,"2 yr Old",33,2
NA,NA,NA,"PIT Tag","Wolf Point","Gavins Point","7F7F056171","1F47760123",2000-10-11,1998-06-11,1998,17,"2 yr Old",17,2
NA,NA,NA,"PIT Tag","Wolf Point","Gavins Point","7F7F056171","1F4A363031",2000-10-11,1998-06-11,1998,17,"2 yr Old",17,2
