"Date","No.Act","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b"
1930-02-28,7500,7500,7500,7500,7500,7500,7500
1930-03-01,6800,6800,6800,6800,6800,6800,6800
1930-03-02,6800,6800,6800,6800,6800,6800,6800
1930-03-03,6800,6800,6800,6800,6800,6800,6800
1930-03-04,6800,6800,6800,6800,6800,6800,6800
1930-03-05,6800,6800,6800,6800,6800,6800,6800
1930-03-06,6800,6800,6800,6800,6800,6800,6800
1930-03-07,6800,6800,6800,6800,6800,6800,6800
1930-03-08,6800,6800,6800,6800,6800,6800,6800
1930-03-09,6800,6800,6800,6800,6800,6800,6800
1930-03-10,6800,6800,6800,6800,6800,6800,6800
1930-03-11,6800,6800,6800,6800,6800,6800,6800
1930-03-12,6800,6800,6800,6800,6800,6800,6800
1930-03-13,6800,6800,6800,6800,6800,6800,6800
1930-03-14,6800,6800,6800,6800,6800,6800,6800
1930-03-15,6800,6800,6800,6800,6800,6800,6800
1930-03-16,6800,6800,6800,6800,6800,6800,6800
1930-03-17,6800,6800,6800,6800,6800,6800,6800
1930-03-18,6800,6800,6800,6800,6800,6800,6800
1930-03-19,6800,6800,6800,6800,6800,6800,6800
1930-03-20,6800,6800,6800,6800,6800,6800,6800
1930-03-21,6800,6800,6800,6800,6800,6800,6800
1930-03-22,6800,6800,6800,6800,6800,6800,6800
1930-03-23,6800,6800,6800,6800,6800,6800,6800
1930-03-24,6800,6800,6800,6800,6800,6800,6800
1930-03-25,6800,6800,6800,6800,6800,6800,6800
1930-03-26,6800,6800,6800,6800,6800,6800,6800
1930-03-27,6800,6800,6800,6800,6800,6800,6800
1930-03-28,6800,6800,6800,6800,6800,6800,6800
1930-03-29,6800,6800,6800,6800,6800,6800,6800
1930-03-30,6800,6800,6800,6800,6800,6800,6800
1930-03-31,6800,6800,6800,6800,6800,6800,6800
1930-04-01,6800,6800,6800,6800,6800,6800,6800
1930-04-02,6800,6800,6800,6800,6800,6800,6800
1930-04-03,6800,6800,6800,6800,6800,6800,6800
1930-04-04,6800,6800,6800,6800,6800,6800,6800
1930-04-05,6800,6800,6800,6800,6800,6800,6800
1930-04-06,6800,6800,6800,6800,6800,6800,6800
1930-04-07,6800,6800,6800,6800,6800,6800,6800
1930-04-08,6800,6800,6800,6800,6800,6800,6800
1930-04-09,6800,6800,6800,6800,6800,6800,6800
1930-04-10,6800,6800,6800,6800,6800,6800,6800
1930-04-11,6800,6800,6800,6800,6800,6800,6800
1930-04-12,6800,6800,6800,6800,6800,6800,6800
1930-04-13,6800,6800,6800,6800,6800,6800,6800
1930-04-14,6800,6800,6800,6800,6800,6800,6800
1930-04-15,6800,6800,6800,6800,6800,6800,6800
1930-04-16,6800,6800,6800,6800,6800,6800,6800
1930-04-17,6800,6800,6800,6800,6800,6800,6800
1930-04-18,6800,6800,6800,6800,6800,6800,6800
1930-04-19,6800,6800,6800,6800,6800,6800,6800
1930-04-20,6800,6800,6800,6800,6800,6800,6800
1930-04-21,6800,6800,6800,6800,6800,6800,6800
