"Date","No.Act","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b"
1930-06-01,9900,9900,9900,11300,9900,9900,15100
1930-06-02,9900,9900,9900,12500,9900,9900,16300
1930-06-03,9900,9900,9900,13500,9900,9900,17300
1930-06-04,9900,9900,9900,15300,9900,9900,19100
1930-06-05,9900,9900,9900,16100,9900,9900,19900
1930-06-06,9900,9900,9900,16800,9900,9900,20600
1930-06-07,9900,9900,9900,17800,9900,9900,21600
1930-06-08,9900,9900,9900,19700,9900,9900,23500
1930-06-09,9900,9900,9900,20500,9900,9900,24300
1930-06-10,9900,9900,9900,21600,9900,9900,25400
1930-06-11,9900,9900,9900,21800,9900,9900,25600
1930-06-12,9900,9900,9900,22200,9900,9900,26000
1930-06-13,9900,9900,9900,23900,9900,9900,28100
1930-06-14,9900,9900,9900,24600,9900,9900,28800
1930-06-15,9900,9900,9900,24200,9900,9900,28400
1930-06-16,9900,9900,9900,23100,9900,9900,27300
1930-06-17,9900,9900,9900,22200,9900,9900,26400
1930-06-18,9900,9900,9900,21300,9900,9900,25500
1930-06-19,9900,9900,9900,20200,9900,9900,24400
1930-06-20,9900,9900,9900,19400,9900,9900,23600
1930-06-21,9900,9900,9900,18200,9900,9900,22400
1930-06-22,9900,9900,9900,17100,9900,9900,21300
1930-06-23,9900,9900,9900,15900,9900,9900,20100
1930-06-24,9900,9900,9900,14800,9900,9900,19000
1930-06-25,9900,9900,9900,14100,9900,9900,18300
1930-06-26,9900,9900,9900,13300,9900,9900,17500
1930-06-27,9900,9900,9900,10300,9900,9900,14500
1930-06-28,9900,9900,9900,8400,9900,9900,11500
1930-06-29,9900,9900,9900,8400,9900,9900,8500
1930-06-30,9900,9900,9900,8400,9900,9900,8400
1930-07-01,9900,9900,9900,8500,9900,9900,8500
1930-07-02,9900,9900,9900,8500,9900,9900,8500
1930-07-03,9900,9900,9900,8500,9900,9900,8500
1930-07-04,9900,9900,9900,8200,9900,9900,8200
1930-07-05,9900,9900,9900,7900,9900,9900,7900
1930-07-06,9900,9900,9900,7900,9900,9900,7900
1930-07-07,9900,9900,9900,7900,9900,9900,7900
1930-07-08,9900,9900,9900,7900,9900,9900,7900
1930-07-09,9900,9900,9900,7900,9900,9900,7900
1930-07-10,9900,9900,9900,7900,9900,9900,7900
1930-07-11,9900,9900,9900,7900,9900,9900,7900
1930-07-12,9900,9900,9900,7900,9900,9900,7900
1930-07-13,9900,9900,9900,8000,9900,9900,8000
1930-07-14,9900,9900,9900,8000,9900,9900,8000
1930-07-15,9900,9900,9900,8000,9900,9900,8000
1930-07-16,9900,9900,9900,7900,9900,9900,7900
1930-07-17,9900,9900,9900,7700,9900,9900,7700
1930-07-18,9900,9900,9900,8300,9900,9900,8300
1930-07-19,9900,9900,9900,8300,9900,9900,8300
1930-07-20,9900,9900,9900,8200,9900,9900,8200
1930-07-21,9900,9900,9900,7800,9900,9900,7800
1930-07-22,9900,9900,9900,7700,9900,9900,7700
1930-07-23,9900,9900,9900,7400,9900,9900,7400
1930-07-24,9900,9900,9900,7400,9900,9900,7400
1930-07-25,9900,9900,9900,7400,9900,9900,7400
1930-07-26,9900,9900,9900,7600,9900,9900,7600
1930-07-27,9900,9900,9900,7600,9900,9900,7600
1930-07-28,9900,9900,9900,7600,9900,9900,7600
1930-07-29,9900,9900,9900,7500,9900,9900,7500
1930-07-30,9900,9900,9900,7500,9900,9900,7500
1930-07-31,9900,9900,9900,7500,9900,9900,7500
1931-06-01,8000,8000,8000,7900,8000,8000,7500
1931-06-02,8000,8000,8000,7900,8000,8000,7500
1931-06-03,8000,8000,8000,7900,8000,8000,7500
1931-06-04,8000,8000,8000,7900,8000,8000,7500
1931-06-05,8000,8000,8000,7900,8000,8000,7500
1931-06-06,8000,8000,8000,7900,8000,8000,7500
1931-06-07,8000,8000,8000,7900,8000,8000,7500
1931-06-08,8000,8000,8000,7900,8000,8000,7500
1931-06-09,8000,8000,8000,7900,8000,8000,7500
1931-06-10,8000,8000,8000,7900,8000,8000,7500
1931-06-11,8000,8000,8000,7900,8000,8000,7500
1931-06-12,8000,8000,8000,7900,8000,8000,7500
1931-06-13,8000,8000,8000,7900,8000,8000,7500
1931-06-14,8000,8000,8000,7900,8000,8000,7500
1931-06-15,8000,8000,8000,7900,8000,8000,7500
1931-06-16,8000,8000,8000,7900,8000,8000,7500
1931-06-17,8000,8000,8000,7900,8000,8000,7500
1931-06-18,8000,8000,8000,7900,8000,8000,7500
1931-06-19,8000,8000,8000,7900,8000,8000,7500
1931-06-20,8000,8000,8000,7900,8000,8000,7500
1931-06-21,8000,8000,8000,7900,8000,8000,7500
1931-06-22,8000,8000,8000,7900,8000,8000,7500
1931-06-23,8000,8000,8000,7900,8000,8000,7500
1931-06-24,8000,8000,8000,7900,8000,8000,7500
1931-06-25,8000,8000,8000,7900,8000,8000,7500
1931-06-26,8000,8000,8000,7900,8000,8000,7500
1931-06-27,8000,8000,8000,7900,8000,8000,7500
1931-06-28,8000,8000,8000,7900,8000,8000,7500
1931-06-29,8000,8000,8000,7900,8000,8000,7500
1931-06-30,8000,8000,8000,7900,8000,8000,7500
1931-07-01,8000,8000,8000,7900,8000,8000,7500
1931-07-02,8000,8000,8000,7900,8000,8000,7500
1931-07-03,8000,8000,8000,7900,8000,8000,7500
1931-07-04,8000,8000,8000,7900,8000,8000,7500
1931-07-05,8000,8000,8000,7900,8000,8000,7500
1931-07-06,8000,8000,8000,7900,8000,8000,7500
1931-07-07,8000,8000,8000,7900,8000,8000,7500
1931-07-08,8000,8000,8000,7900,8000,8000,7500
1931-07-09,8000,8000,8000,7900,8000,8000,7500
1931-07-10,8000,8000,8000,7900,8000,8000,7500
1931-07-11,8000,8000,8000,7900,8000,8000,7500
1931-07-12,8000,8000,8000,7900,8000,8000,7500
1931-07-13,8000,8000,8000,7900,8000,8000,7500
1931-07-14,8000,8000,8000,7900,8000,8000,7500
1931-07-15,8000,8000,8000,7900,8000,8000,7500
1931-07-16,8000,8000,8000,7900,8000,8000,7500
1931-07-17,8000,8000,8000,7900,8000,8000,7500
1931-07-18,8000,8000,8000,7900,8000,8000,7500
1931-07-19,8000,8000,8000,7900,8000,8000,7500
1931-07-20,8000,8000,8000,7900,8000,8000,7500
1931-07-21,8000,8000,8000,7900,8000,8000,7500
1931-07-22,8000,8000,8000,7900,8000,8000,7500
1931-07-23,8000,8000,8000,7900,8000,8000,7500
1931-07-24,8000,8000,8000,7900,8000,8000,7500
1931-07-25,8000,8000,8000,7900,8000,8000,7500
1931-07-26,8000,8000,8000,7900,8000,8000,7500
1931-07-27,8000,8000,8000,7900,8000,8000,7500
1931-07-28,8000,8000,8000,7900,8000,8000,7500
1931-07-29,8000,8000,8000,7900,8000,8000,7500
1931-07-30,8000,8000,8000,7900,8000,8000,7500
1931-07-31,8000,8000,8000,7900,8000,8000,7500
1932-06-01,7300,7300,7300,7300,7300,7300,7300
1932-06-02,7300,7300,7300,7300,7300,7300,7300
1932-06-03,7300,7300,7300,7300,7300,7300,7300
1932-06-04,7300,7300,7300,7300,7300,7300,7300
1932-06-05,7300,7300,7300,7300,7300,7300,7300
1932-06-06,7300,7300,7300,7300,7300,7300,7300
1932-06-07,7300,7300,7300,7300,7300,7300,7300
1932-06-08,7300,7300,7300,7300,7300,7300,7300
1932-06-09,8000,8000,8000,8000,8000,8000,8000
1932-06-10,7300,7300,7300,7300,7300,7300,7300
1932-06-11,7300,7300,7300,7300,7300,7300,7300
1932-06-12,7300,7300,7300,7300,7300,7300,7300
1932-06-13,7300,7300,7300,7300,7300,7300,7300
1932-06-14,7300,7300,7300,7300,7300,7300,7300
1932-06-15,7300,7300,7300,7300,7300,7300,7300
1932-06-16,7300,7300,7300,7300,7300,7300,7300
1932-06-17,7300,7300,7300,7300,7300,7300,7300
1932-06-18,7300,7300,7300,7300,7300,7300,7300
1932-06-19,7300,7300,7300,7300,7300,7300,7300
1932-06-20,7300,7300,7300,7300,7300,7300,7300
1932-06-21,7300,7300,7300,7300,7300,7300,7300
1932-06-22,7300,7300,7300,7300,7300,7300,7300
1932-06-23,7300,7300,7300,7300,7300,7300,7300
1932-06-24,7300,7300,7300,7300,7300,7300,7300
1932-06-25,7300,7300,7300,7300,7300,7300,7300
1932-06-26,7300,7300,7300,7300,7300,7300,7300
1932-06-27,7300,7300,7300,7300,7300,7300,7300
1932-06-28,7300,7300,7300,7300,7300,7300,7300
1932-06-29,7300,7300,7300,7300,7300,7300,7300
