"Year","Flow_Scenario","Max_Flow","Flow_Threshold","Max_Flow_Test","Flow_Start","Max_Date","PP_Fail_Date","Threshold_Temp","Weather_Pattern","Threshold_Dates","Overlap_Start","Overlap_Test"
1930,"No.Act",9900,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt1",9900,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.1a",9900,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.1b",24600,17000,1,"06-07","06-14","06-23",16,"Low","06-25","12-31",0
1930,"Alt.2",9900,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.2a",9900,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.2b",28800,17000,1,"06-03","06-14","06-27",16,"Low","06-25","06-25",1
1930,"No.Act",9900,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt1",9900,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.1a",9900,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.1b",24600,17500,1,"06-07","06-14","06-22",16,"Low","06-25","12-31",0
1930,"Alt.2",9900,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.2a",9900,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.2b",28800,17500,1,"06-04","06-14","06-27",16,"Low","06-25","06-25",1
1930,"No.Act",9900,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt1",9900,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.1a",9900,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.1b",24600,18000,1,"06-08","06-14","06-22",16,"Low","06-25","12-31",0
1930,"Alt.2",9900,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.2a",9900,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1930,"Alt.2b",28800,18000,1,"06-04","06-14","06-26",16,"Low","06-25","06-25",1
1931,"No.Act",8000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt1",8000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.1a",8000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.1b",7900,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2",8000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2a",8000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2b",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"No.Act",8000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt1",8000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.1a",8000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.1b",7900,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2",8000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2a",8000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2b",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"No.Act",8000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt1",8000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.1a",8000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.1b",7900,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2",8000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2a",8000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1931,"Alt.2b",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1932,"No.Act",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt1",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.1a",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.1b",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2a",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2b",8000,17000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"No.Act",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt1",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.1a",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.1b",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2a",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
