"Year","Flow_Scenario","Max_Flow","Flow_Threshold","Max_Flow_Test","Flow_Start","Max_Date","PP_Fail_Date","Threshold_Temp","Threshold_Dates","Overlap_Start","Overlap_Test"
1930,"No.Act",9900,17000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"No.Act",9900,17000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"No.Act",9900,17000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"No.Act",9900,17000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt1",9900,17000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt1",9900,17000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt1",9900,17000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt1",9900,17000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.1a",9900,17000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.1a",9900,17000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.1a",9900,17000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.1a",9900,17000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.1b",24600,17000,1,"06-07","06-14","06-23",16,1930-06-08,"06-08",1
1930,"Alt.1b",24600,17000,1,"06-07","06-14","06-23",20,1930-06-28,"12-31",0
1930,"Alt.1b",24600,17000,1,"06-07","06-14","06-23",18,1930-06-17,"06-17",1
1930,"Alt.1b",24600,17000,1,"06-07","06-14","06-23",17,1930-06-12,"06-12",1
1930,"Alt.2",9900,17000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.2",9900,17000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.2",9900,17000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.2",9900,17000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.2a",9900,17000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.2a",9900,17000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.2a",9900,17000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.2a",9900,17000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.2b",28800,17000,1,"06-03","06-14","06-27",16,1930-06-08,"06-08",1
1930,"Alt.2b",28800,17000,1,"06-03","06-14","06-27",20,1930-06-28,"12-31",0
1930,"Alt.2b",28800,17000,1,"06-03","06-14","06-27",18,1930-06-17,"06-17",1
1930,"Alt.2b",28800,17000,1,"06-03","06-14","06-27",17,1930-06-12,"06-12",1
1930,"No.Act",9900,17500,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"No.Act",9900,17500,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"No.Act",9900,17500,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"No.Act",9900,17500,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt1",9900,17500,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt1",9900,17500,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt1",9900,17500,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt1",9900,17500,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.1a",9900,17500,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.1a",9900,17500,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
