"Date","Spill.Low","Spillway","Spill.High"
1998-06-01,10.69745,12.93245,14.66745
1998-06-02,10.9638,13.1938,14.9238
1998-06-03,11.22625,13.45125,15.17625
1998-06-04,11.4848,13.7048,15.4248
1998-06-05,11.73945,13.95445,15.66945
1998-06-06,11.9902,14.2002,15.9102
1998-06-07,12.23705,14.44205,16.14705
1998-06-08,12.48,14.68,16.38
1998-06-09,12.71905,14.91405,16.60905
1998-06-10,12.9542,15.1442,16.8342
1998-06-11,13.18545,15.37045,17.05545
1998-06-12,13.4128,15.5928,17.2728
1998-06-13,13.63625,15.81125,17.48625
1998-06-14,13.8558,16.0258,17.6958
1998-06-15,14.07145,16.23645,17.90145
1998-06-16,14.2832,16.4432,18.1032
1998-06-17,14.49105,16.64605,18.30105
1998-06-18,14.695,16.845,18.495
1998-06-19,14.89505,17.04005,18.68505
1998-06-20,15.0912,17.2312,18.8712
1998-06-21,15.28345,17.41845,19.05345
1998-06-22,15.4718,17.6018,19.2318
1998-06-23,15.65625,17.78125,19.40625
1998-06-24,15.8368,17.9568,19.5768
1998-06-25,16.01345,18.12845,19.74345
1998-06-26,16.1862,18.2962,19.9062
1998-06-27,16.35505,18.46005,20.06505
1998-06-28,16.52,18.62,20.22
1998-06-29,16.68105,18.77605,20.37105
1998-06-30,16.8382,18.9282,20.5182
1998-07-01,16.99145,19.07645,20.66145
1998-07-02,17.1408,19.2208,20.8008
1998-07-03,17.28625,19.36125,20.93625
1998-07-04,17.4278,19.4978,21.0678
1998-07-05,17.56545,19.63045,21.19545
1998-07-06,17.6992,19.7592,21.3192
1998-07-07,17.82905,19.88405,21.43905
1998-07-08,17.955,20.005,21.555
1998-07-09,18.07705,20.12205,21.66705
1998-07-10,18.1952,20.2352,21.7752
1998-07-11,18.30945,20.34445,21.87945
1998-07-12,18.4198,20.4498,21.9798
1998-07-13,18.52625,20.55125,22.07625
1998-07-14,18.6288,20.6488,22.1688
1998-07-15,18.72745,20.74245,22.25745
1998-07-16,18.8222,20.8322,22.3422
1998-07-17,18.91305,20.91805,22.42305
1998-07-18,19,21,22.5
1998-07-19,19.08305,21.07805,22.57305
1998-07-20,19.1622,21.1522,22.6422
1998-07-21,19.23745,21.22245,22.70745
1998-07-22,19.3088,21.2888,22.7688
1998-07-23,19.37625,21.35125,22.82625
1998-07-24,19.4398,21.4098,22.8798
1998-07-25,19.49945,21.46445,22.92945
1998-07-26,19.5552,21.5152,22.9752
1998-07-27,19.60705,21.56205,23.01705
1998-07-28,19.655,21.605,23.055
1998-07-29,19.69905,21.64405,23.08905
1998-07-30,19.7392,21.6792,23.1192
1998-07-31,19.77545,21.71045,23.14545
1998-08-01,19.77545,21.71045,23.14545
