Year,No.Act,Alt1,Alt.1a,Alt.1b,Alt.2,Alt.2a,Alt.2b
1930,NA,NA,NA,24600,NA,NA,28800
1947,NA,NA,NA,22500,NA,NA,26548.77108
1949,NA,NA,NA,23200,NA,NA,27923.23114
1953,22500,NA,NA,NA,18300,21900,NA
1954,NA,22300,NA,21800,19432.46213,18205.94262,19832.08244
1966,NA,24900,24600,25500,28400,28800,29000
1967,NA,22100,NA,NA,25300,23900,17600
1968,NA,30900,24800,24300,28800,29000,24600
1974,NA,NA,NA,NA,NA,21300,NA
1975,37000,36500,36500,37000,37000,36500,37000
1976,18700,18700,NA,18700,18700,NA,18700
1980,NA,25800,24300,26000,28500,27265.5126,28700
1982,NA,NA,21300,18600,23200,24573.77994,22200
1983,NA,32900,24000,32700,28800,28200,29200
1984,NA,28900,24600,22000,29000,28800,23100
1985,NA,30900,24500,31100,28900,28700,29300
1986,NA,23900,20100,17600,26900,24600,21100
1987,NA,24500,24700,24600,28700,28900,28800
1994,NA,23200,22500,20800,NA,NA,23900
1997,24500,24500,24500,24000,24500,24500,24500
1998,NA,28100,24400,28000,28400,28600,28500
1999,NA,19900,NA,NA,24200,NA,NA
2000,NA,26699.50371,24000,26667.36625,25578.71937,19627.41826,22156.50406
2011,77000,77000,77000,77000,77000,77000,77000
2012,NA,30000,22800,23500,26400,27000,23900
