"Year","Weather"
"1930","High"
"1931","Median"
"1932","Median"
"1933","Median"
"1934","Median"
"1935","Median"
"1936","Median"
"1937","Median"
"1938","Median"
"1939","Median"
"1940","Median"
"1941","Median"
"1942","Median"
"1943","Median"
"1944","Median"
"1945","Median"
"1946","Median"
"1947","Low"
"1948","Median"
"1949","High"
"1950","Median"
"1951","Median"
"1952","Median"
"1953","High"
"1954","Low"
"1955","Median"
"1956","Median"
"1957","Median"
"1958","Median"
"1959","Median"
"1960","Median"
"1961","Median"
"1962","Median"
"1963","Median"
"1964","Median"
"1965","Median"
"1966","Low"
"1967","Low"
"1968","Low"
"1969","Median"
"1970","High"
"1971","Median"
"1972","High"
"1973","Median"
"1974","Median"
"1975","Median"
"1976","Median"
"1977","High"
"1978","Median"
"1979","Median"
"1980","Median"
"1981","Low"
"1982","Median"
"1983","Median"
"1984","Median"
"1985","Median"
"1986","High"
"1987","High"
"1988","High"
"1989","Median"
"1990","Median"
"1991","High"
"1992","Median"
"1993","Low"
"1994","Median"
"1995","High"
"1996","High"
"1997","High"
"1998","Low"
"1999","Median"
"2000","Median"
"2001","Low"
"2002","Low"
"2003","Low"
"2004","Low"
"2005","Median"
"2006","Median"
"2007","Median"
"2008","Low"
"2009","Low"
"2010","Median"
"2011","Low"
"2012","Median"
