"Year","Weather_Pattern","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b","No.Act"
1930,"Median","","","06-15","","","06-15",""
1930,"Median","","","06-19","","","06-19",""
1949,"High","","","06-15","","","06-14",""
1953,"Median","","","","","","","07-26"
1975,"Median","08-01","08-01","08-01","08-01","08-01","08-01","08-01"
1975,"Median","08-05","08-05","08-05","08-05","08-05","08-05","08-05"
1976,"Median","08-01","","08-01","08-01","","08-01","08-01"
1976,"Median","08-05","","08-05","08-05","","08-05","08-05"
1980,"Median","","","06-17","","","06-16",""
1980,"Median","","","06-21","","","06-20",""
1983,"Median","","","06-19","","","06-16",""
1983,"Median","06-16","","06-23","","","06-20",""
1985,"Median","","","06-19","","","06-16",""
1985,"Median","06-16","","06-23","","","06-20",""
1986,"High","06-08","","","06-08","","06-08",""
1987,"High","06-08","","06-16","06-08","","06-16",""
1987,"High","06-12","","06-20","06-12","","06-20",""
1994,"Median","","","06-17","","","",""
1997,"High","08-01","08-01","08-01","08-01","08-01","08-01","08-01"
1997,"High","08-05","08-05","08-05","08-05","08-05","08-05","08-05"
2000,"Median","","","06-14","","","",""
