"Year","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b","No.Act","Weather_Pattern"
1930,"","","06-22","","","06-22","","Median"
1930,"","","06-26","","","06-26","","Median"
1949,"","","06-22","","","06-21","","High"
1953,"","","","","","","08-02","Median"
1975,"08-08","08-08","08-08","08-08","08-08","08-08","08-08","Median"
1975,"08-12","08-12","08-12","08-12","08-12","08-12","08-12","Median"
1976,"08-08","","08-08","08-08","","08-08","08-08","Median"
1976,"08-12","","08-12","08-12","","08-12","08-12","Median"
1980,"","","06-24","","","06-23","","Median"
1980,"","","06-28","","","06-27","","Median"
1983,"","","06-26","","","06-23","","Median"
1983,"06-23","","06-30","","","06-27","","Median"
1985,"","","06-26","","","06-23","","Median"
1985,"06-23","","06-30","","","06-27","","Median"
1986,"06-15","","","06-15","","06-15","","High"
1987,"06-15","","06-23","06-15","","06-23","","High"
1987,"06-19","","06-27","06-19","","06-27","","High"
1994,"","","06-24","","","","","Median"
1997,"08-08","08-08","08-08","08-08","08-08","08-08","08-08","High"
1997,"08-12","08-12","08-12","08-12","08-12","08-12","08-12","High"
2000,"","","06-21","","","","","Median"
