"Year","Weather_Pattern","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b","No.Act"
1949,"High","","","","","","06-17",""
1980,"Median","","","","06-19","","06-19",""
1980,"Median","","","","","","06-25",""
1983,"Median","06-20","","","","","06-20",""
1985,"Median","06-20","","","","","06-20",""
1985,"Median","","","","","","06-26",""
1987,"High","06-12","","","06-12","06-12","",""
1987,"High","","","","06-17","","",""
2011,"Low","07-03","07-03","07-03","07-03","07-03","07-03","07-03"
2011,"Low","07-10","07-10","07-10","07-10","07-10","07-10","07-10"
