"","Alt","Year","Hatch_Date","Retention"
"1","1",1930,1930-06-17,0.00935819714802195
"2","1",1930,1930-06-24,0.0509006678078962
"3","1",1966,1966-06-21,0.414314764697038
"4","1",1966,1966-06-25,0.999424806064961
"5","1",1966,1966-07-02,0.999999992227938
"6","1",1975,1975-07-02,0.943271048307416
"7","1",1975,1975-07-02,0.943271048307416
"8","1",1975,1975-07-09,0.22645953384813
"9","1",1975,1975-07-16,0.479486694062616
"10","1",1980,1980-06-21,0.431593358845001
"11","1",1980,1980-06-18,0.430693994413511
"12","1",1980,1980-06-25,0.999999939127056
"13","1",1983,1983-06-21,0.244027511858602
"14","1",1983,1983-06-18,0.0678823863229669
"15","1",1983,1983-06-25,0.994369974860969
"16","1",1985,1985-06-21,0.00726951169055249
"17","1",1985,1985-06-18,0.0077342009923576
"18","1",1985,1985-06-25,0.342680592987859
"19","1",1986,1986-06-14,0.999999980167405
"20","1",1986,1986-06-10,0.469160066954446
"21","1",1986,1986-06-17,0.999999999469728
"22","1",1987,1987-06-21,0.966916283741874
"23","1",1987,1987-06-10,0.513329322609115
"24","1",1987,1987-06-18,0.788346150688552
"25","1",1987,1987-06-25,0.999600479371481
"26","1",2000,2000-06-21,0.0077004030448346
"27","1",2000,2000-06-14,1.6950056712458e-05
"28","1",2000,2000-06-21,0.639833784458608
"29","1",2011,2011-06-25,1.56413379083757e-05
"30","1",2011,2011-07-02,0.000346750086537048
"31","1",2012,2012-06-21,0.0332053584551859
