"Parameter","Elasticity","Potential"
"prod",0.017895,23859999.982105
"phi0_MR",0.017895,238.582105
"p_retained",0.017895,17.877105
"gamma",0.017895,1.771605
"sexratio",0.017895,0.038026875
"phi1",0.017895,0.0100659375
"phi2",0.017895,0.00803978260869566
"phi3",0.017895,0.00695916666666667
"phi4",0.017895,0.00565105263157895
"phi5",0.017895,0.00475689873417721
"phi6",0.017895,0.00392817073170732
"phi7",0.017895,0.00340857142857143
"phi8",0.017895,0.00291313953488372
"phi9",0.017895,0.00244022727272727
"phi10",0.017895,0.00209941340782123
"phi11",0.017895,0.00176983516483516
"phi12",0.017895,0.00155608695652174
"phi13",0.017895,0.00134693548387097
"phi14",0.017895,0.00124403743315508
"phi15",0.017895,0.00114223404255319
"phi16",0.017895,0.00114223404255319
