Year,Weather_Pattern,Flow_Scenario,Overlap_Start,Overlap_Last_Day,Spawn_Date_1,Spawn_Date_2,Spawn_Date_3,Spawn_Date_4,Spawn_Date_5
1930,High,Alt.1b,7-Jun,21-Jun,15-Jun,17-Jun,19-Jun,,
1930,High,Alt.2b,7-Jun,26-Jun,15-Jun,17-Jun,19-Jun,,
1949,High,Alt.1b,7-Jun,17-Jun,15-Jun,17-Jun,,,
1949,High,Alt.2b,7-Jun,17-Jun,14-Jun,16-Jun,,,
1953,High,Alt.2,7-Jun,7-Jun,,,,,
1953,High,No.Act,7-Jul,26-Jul,26-Jul,,,,
1966,Low,Alt.2b,25-Jun,26-Jun,25-Jun,,,,
1975,Median,Alt.1a,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1975,Median,Alt.1b,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1975,Median,Alt.2,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1975,Median,Alt.2a,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1975,Median,Alt.2b,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1975,Median,Alt1,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1975,Median,No.Act,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1976,Median,Alt.1b,14-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1976,Median,Alt.2,14-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1976,Median,Alt.2b,14-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1976,Median,Alt1,14-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1976,Median,No.Act,14-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1980,Median,Alt.1b,14-Jun,24-Jun,17-Jun,19-Jun,21-Jun,,
1980,Median,Alt.2,14-Jun,19-Jun,14-Jun,19-Jun,,,
1980,Median,Alt.2b,14-Jun,26-Jun,16-Jun,18-Jun,19-Jun,20-Jun,25-Jun
1980,Median,Alt1,14-Jun,17-Jun,14-Jun,,,,
1983,Median,Alt.1b,14-Jun,23-Jun,19-Jun,21-Jun,23-Jun,,
1983,Median,Alt.2,14-Jun,19-Jun,14-Jun,19-Jun,,,
1983,Median,Alt.2b,14-Jun,22-Jun,16-Jun,18-Jun,19-Jun,20-Jun,
1983,Median,Alt1,14-Jun,21-Jun,14-Jun,16-Jun,19-Jun,,
1985,Median,Alt.1b,14-Jun,25-Jun,19-Jun,21-Jun,23-Jun,25-Jun,
1985,Median,Alt.2,14-Jun,19-Jun,14-Jun,19-Jun,,,
1985,Median,Alt.2b,14-Jun,26-Jun,16-Jun,18-Jun,19-Jun,20-Jun,25-Jun
1985,Median,Alt1,14-Jun,22-Jun,14-Jun,16-Jun,19-Jun,,
1986,High,Alt.1b,7-Jun,7-Jun,,,,,
1986,High,Alt.2,7-Jun,9-Jun,7-Jun,9-Jun,,,
1986,High,Alt.2b,7-Jun,8-Jun,8-Jun,,,,
1986,High,Alt1,7-Jun,9-Jun,8-Jun,,,,
1987,High,Alt.1a,7-Jun,7-Jun,7-Jun,,,,
1987,High,Alt.1b,7-Jun,22-Jun,16-Jun,18-Jun,20-Jun,,
1987,High,Alt.2,7-Jun,19-Jun,8-Jun,10-Jun,11-Jun,12-Jun,16-Jun
1987,High,Alt.2a,7-Jun,12-Jun,7-Jun,11-Jun,,,
1987,High,Alt.2b,7-Jun,25-Jun,16-Jun,18-Jun,20-Jun,,
1987,High,Alt1,7-Jun,15-Jun,8-Jun,10-Jun,11-Jun,12-Jun,
1994,Median,Alt.1b,14-Jun,17-Jun,14-Jun,15-Jun,17-Jun,,
1997,High,Alt.1a,25-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1997,High,Alt.1b,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1997,High,Alt.2,25-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1997,High,Alt.2a,30-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1997,High,Alt.2b,25-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1997,High,Alt1,25-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
1997,High,No.Act,25-Jun,30-Dec,1-Aug,3-Aug,5-Aug,,
2000,Median,Alt.1b,14-Jun,17-Jun,14-Jun,16-Jun,,,
2000,Median,Alt.2b,14-Jun,15-Jun,14-Jun,,,,
2000,Median,Alt1,14-Jun,15-Jun,14-Jun,,,,
2011,Low,Alt.1a,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2011,Low,Alt.1b,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2011,Low,Alt.2,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2011,Low,Alt.2a,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2011,Low,Alt.2b,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2011,Low,Alt1,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2011,Low,No.Act,25-Jun,30-Dec,25-Jun,2-Jul,9-Jul,,
2012,Median,Alt1,14-Jun,14-Jun,14-Jun,,,,
