"Year","Weather_Pattern","Flow_Scenario","Overlap_Start","Overlap_Last_Day","Spawn_Date_1","Spawn_Date_2","Spawn_Date_3","Spawn_Date_4","Spawn_Date_5"
1930,"Median","Alt.1b","06-08","06-21","06-15","06-17","06-19","",""
1930,"Median","Alt.2b","06-08","06-26","06-15","06-17","06-19","",""
1949,"High","Alt.1b","06-08","06-17","06-15","06-17","","",""
1949,"High","Alt.2b","06-08","06-17","06-14","06-16","06-17","",""
1953,"Median","No.Act","07-07","07-26","07-26","","","",""
1966,"Low","Alt.2b","06-26","06-26","06-26","","","",""
1975,"Median","Alt.1a","06-30","12-30","08-01","08-03","08-05","",""
1975,"Median","Alt.1b","06-30","12-30","08-01","08-03","08-05","",""
1975,"Median","Alt.2","06-30","12-30","08-01","08-03","08-05","",""
1975,"Median","Alt.2a","06-30","12-30","08-01","08-03","08-05","",""
1975,"Median","Alt.2b","06-30","12-30","08-01","08-03","08-05","",""
1975,"Median","Alt1","06-30","12-30","08-01","08-03","08-05","",""
1975,"Median","No.Act","06-30","12-30","08-01","08-03","08-05","",""
1976,"Median","Alt.1b","06-14","12-30","08-01","08-03","08-05","",""
1976,"Median","Alt.2","06-14","12-30","08-01","08-03","08-05","",""
1976,"Median","Alt.2b","06-14","12-30","08-01","08-03","08-05","",""
1976,"Median","Alt1","06-14","12-30","08-01","08-03","08-05","",""
1976,"Median","No.Act","06-14","12-30","08-01","08-03","08-05","",""
1980,"Median","Alt.1b","06-14","06-24","06-17","06-19","06-21","",""
1980,"Median","Alt.2","06-14","06-19","06-14","06-19","","",""
1980,"Median","Alt.2b","06-14","06-26","06-16","06-18","06-19","06-20","06-25"
1980,"Median","Alt1","06-14","06-17","06-14","","","",""
1983,"Median","Alt.1b","06-15","06-23","06-19","06-21","06-23","",""
1983,"Median","Alt.2","06-15","06-19","06-15","","","",""
1983,"Median","Alt.2b","06-15","06-22","06-16","06-18","06-20","",""
1983,"Median","Alt1","06-15","06-21","06-15","06-16","06-20","",""
1985,"Median","Alt.1b","06-15","06-25","06-19","06-21","06-23","",""
1985,"Median","Alt.2","06-15","06-19","06-15","","","",""
1985,"Median","Alt.2b","06-15","06-26","06-16","06-18","06-20","06-26",""
1985,"Median","Alt1","06-15","06-22","06-15","06-16","06-20","",""
1986,"High","Alt.2","06-08","06-09","06-08","06-09","","",""
1986,"High","Alt.2b","06-08","06-08","06-08","","","",""
1986,"High","Alt1","06-08","06-09","06-08","","","",""
1987,"High","Alt.1a","Fail","Fail","06-08","","","",""
1987,"High","Alt.1b","06-08","06-22","06-16","06-18","06-20","",""
1987,"High","Alt.2","06-08","06-19","06-08","06-10","06-12","06-17",""
1987,"High","Alt.2a","06-08","06-12","06-08","06-12","","",""
1987,"High","Alt.2b","06-08","06-25","06-16","06-18","06-20","",""
1987,"High","Alt1","06-08","06-15","06-08","06-10","06-12","",""
1994,"Median","Alt.1b","06-15","06-17","06-15","06-17","","",""
1997,"High","Alt.1a","06-25","12-30","08-01","08-03","08-05","",""
1997,"High","Alt.1b","06-30","12-30","08-01","08-03","08-05","",""
1997,"High","Alt.2","06-25","12-30","08-01","08-03","08-05","",""
1997,"High","Alt.2a","06-30","12-30","08-01","08-03","08-05","",""
1997,"High","Alt.2b","06-25","12-30","08-01","08-03","08-05","",""
1997,"High","Alt1","06-25","12-30","08-01","08-03","08-05","",""
1997,"High","No.Act","06-25","12-30","08-01","08-03","08-05","",""
2000,"Median","Alt.1b","06-14","06-17","06-14","06-16","","",""
2000,"Median","Alt.2b","06-14","06-15","06-14","","","",""
2000,"Median","Alt1","06-14","06-15","06-14","","","",""
2011,"Low","Alt.1a","06-26","12-30","06-26","07-03","07-10","",""
2011,"Low","Alt.1b","06-26","12-30","06-26","07-03","07-10","",""
2011,"Low","Alt.2","06-26","12-30","06-26","07-03","07-10","",""
2011,"Low","Alt.2a","06-26","12-30","06-26","07-03","07-10","",""
2011,"Low","Alt.2b","06-26","12-30","06-26","07-03","07-10","",""
2011,"Low","Alt1","06-26","12-30","06-26","07-03","07-10","",""
2011,"Low","No.Act","06-26","12-30","06-26","07-03","07-10","",""
2012,"Median","Alt1","06-14","06-14","06-14","","","",""
