Year,Weather_Pattern,Flow_Scenario,Standard,Temp_17,Temp_18,Flow_17000,Flow_18000,Overlap_Start,Days_PP_1,Days_PP_5,Overlap_Last_Day
1930,Median,Alt.1b,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,8-Jun,15-Jun,19-Jun,21-Jun
1930,Median,Alt.2b,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,8-Jun,15-Jun,19-Jun,26-Jun
1949,High,Alt.1b,17-Jun,17-Jun,17-Jun,17-Jun,17-Jun,8-Jun,15-Jun,Fail,17-Jun
1949,High,Alt.2b,16-Jun,16-Jun,17-Jun,16-Jun,16-Jun,8-Jun,14-Jun,Fail,17-Jun
1953,Median,No.Act,Fail,Fail,Fail,Fail,Fail,7-Jul,26-Jul,Fail,26-Jul
1966,Low,Alt.2b,26-Jun,Fail,Fail,26-Jun,Fail,26-Jun,26-Jun,26-Jun,26-Jun
1975,Median,Alt.1a,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1975,Median,Alt.1b,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1975,Median,Alt.2,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1975,Median,Alt.2a,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1975,Median,Alt.2b,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1975,Median,Alt1,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1975,Median,No.Act,9-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1976,Median,Alt.1b,Fail,3-Aug,3-Aug,3-Aug,3-Aug,14-Jun,1-Aug,5-Aug,30-Dec
1976,Median,Alt.2,Fail,3-Aug,3-Aug,3-Aug,3-Aug,14-Jun,1-Aug,5-Aug,30-Dec
1976,Median,Alt.2b,Fail,3-Aug,3-Aug,3-Aug,3-Aug,14-Jun,1-Aug,5-Aug,30-Dec
1976,Median,Alt1,Fail,3-Aug,3-Aug,3-Aug,3-Aug,14-Jun,1-Aug,5-Aug,30-Dec
1976,Median,No.Act,Fail,3-Aug,3-Aug,3-Aug,3-Aug,14-Jun,1-Aug,5-Aug,30-Dec
1980,Median,Alt.1b,19-Jun,19-Jun,Fail,19-Jun,19-Jun,14-Jun,17-Jun,21-Jun,24-Jun
1980,Median,Alt.2,14-Jun,19-Jun,Fail,14-Jun,14-Jun,14-Jun,14-Jun,14-Jun,19-Jun
1980,Median,Alt.2b,18-Jun,19-Jun,25-Jun,18-Jun,18-Jun,14-Jun,16-Jun,20-Jun,26-Jun
1980,Median,Alt1,14-Jun,Fail,Fail,14-Jun,14-Jun,14-Jun,14-Jun,14-Jun,17-Jun
1983,Median,Alt.1b,21-Jun,21-Jun,Fail,21-Jun,21-Jun,15-Jun,19-Jun,23-Jun,23-Jun
1983,Median,Alt.2,15-Jun,Fail,Fail,15-Jun,15-Jun,15-Jun,15-Jun,15-Jun,19-Jun
1983,Median,Alt.2b,18-Jun,20-Jun,Fail,18-Jun,18-Jun,15-Jun,16-Jun,20-Jun,22-Jun
1983,Median,Alt1,15-Jun,20-Jun,Fail,15-Jun,15-Jun,15-Jun,15-Jun,16-Jun,21-Jun
1985,Median,Alt.1b,21-Jun,21-Jun,Fail,21-Jun,21-Jun,15-Jun,19-Jun,23-Jun,25-Jun
1985,Median,Alt.2,15-Jun,Fail,Fail,15-Jun,15-Jun,15-Jun,15-Jun,15-Jun,19-Jun
1985,Median,Alt.2b,18-Jun,20-Jun,26-Jun,18-Jun,18-Jun,15-Jun,16-Jun,20-Jun,26-Jun
1985,Median,Alt1,15-Jun,20-Jun,Fail,15-Jun,15-Jun,15-Jun,15-Jun,16-Jun,22-Jun
1986,High,Alt.2,9-Jun,Fail,Fail,9-Jun,Fail,8-Jun,8-Jun,Fail,9-Jun
1986,High,Alt.2b,Fail,Fail,Fail,Fail,Fail,8-Jun,8-Jun,Fail,8-Jun
1986,High,Alt1,Fail,Fail,Fail,Fail,Fail,8-Jun,8-Jun,Fail,9-Jun
1987,High,Alt.1a,Fail,Fail,Fail,8-Jun,Fail,Fail,Fail,Fail,Fail
1987,High,Alt.1b,18-Jun,18-Jun,18-Jun,18-Jun,18-Jun,8-Jun,16-Jun,20-Jun,22-Jun
1987,High,Alt.2,10-Jun,12-Jun,17-Jun,10-Jun,10-Jun,8-Jun,8-Jun,12-Jun,19-Jun
1987,High,Alt.2a,8-Jun,12-Jun,Fail,8-Jun,8-Jun,8-Jun,8-Jun,8-Jun,12-Jun
1987,High,Alt.2b,18-Jun,18-Jun,18-Jun,18-Jun,18-Jun,8-Jun,16-Jun,20-Jun,25-Jun
1987,High,Alt1,10-Jun,12-Jun,Fail,10-Jun,10-Jun,8-Jun,8-Jun,12-Jun,15-Jun
1994,Median,Alt.1b,15-Jun,Fail,Fail,15-Jun,15-Jun,15-Jun,15-Jun,17-Jun,17-Jun
1997,High,Alt.1a,28-Jun,3-Aug,3-Aug,3-Aug,3-Aug,25-Jun,1-Aug,5-Aug,30-Dec
1997,High,Alt.1b,5-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1997,High,Alt.2,28-Jun,3-Aug,3-Aug,3-Aug,3-Aug,25-Jun,1-Aug,5-Aug,30-Dec
1997,High,Alt.2a,5-Jul,3-Aug,3-Aug,3-Aug,3-Aug,30-Jun,1-Aug,5-Aug,30-Dec
1997,High,Alt.2b,28-Jun,3-Aug,3-Aug,3-Aug,3-Aug,25-Jun,1-Aug,5-Aug,30-Dec
1997,High,Alt1,28-Jun,3-Aug,3-Aug,3-Aug,3-Aug,25-Jun,1-Aug,5-Aug,30-Dec
1997,High,No.Act,28-Jun,3-Aug,3-Aug,3-Aug,3-Aug,25-Jun,1-Aug,5-Aug,30-Dec
2000,Median,Alt.1b,16-Jun,Fail,Fail,16-Jun,16-Jun,14-Jun,14-Jun,Fail,17-Jun
2000,Median,Alt.2b,14-Jun,Fail,Fail,14-Jun,14-Jun,14-Jun,14-Jun,14-Jun,15-Jun
2000,Median,Alt1,14-Jun,Fail,Fail,14-Jun,14-Jun,14-Jun,14-Jun,14-Jun,15-Jun
2011,Low,Alt.1a,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2011,Low,Alt.1b,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2011,Low,Alt.2,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2011,Low,Alt.2a,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2011,Low,Alt.2b,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2011,Low,Alt1,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2011,Low,No.Act,26-Jun,3-Jul,10-Jul,26-Jun,26-Jun,26-Jun,26-Jun,26-Jun,30-Dec
2012,Median,Alt1,14-Jun,Fail,Fail,14-Jun,14-Jun,14-Jun,14-Jun,Fail,14-Jun
