"Year","Weather_Pattern","Flow_Scenario","Temp_Threshold","Min_Days_Post_Peak","17000","17500","18000"
1930,"Median","Alt.1b",16,3,"06-17","06-17","06-17"
1930,"Median","Alt.2b",16,3,"06-17","06-17","06-17"
1949,"High","Alt.1b",16,3,"06-17","06-17","06-17"
1949,"High","Alt.2b",16,3,"06-16","06-16","06-16"
1966,"Low","Alt.2b",16,3,"06-26","06-26","Fail"
1975,"Median","Alt.1a",16,3,"08-03","08-03","08-03"
1975,"Median","Alt.1b",16,3,"08-03","08-03","08-03"
1975,"Median","Alt.2",16,3,"08-03","08-03","08-03"
1975,"Median","Alt.2a",16,3,"08-03","08-03","08-03"
1975,"Median","Alt.2b",16,3,"08-03","08-03","08-03"
1975,"Median","Alt1",16,3,"08-03","08-03","08-03"
1975,"Median","No.Act",16,3,"08-03","08-03","08-03"
1976,"Median","Alt.1b",16,3,"08-03","08-03","08-03"
1976,"Median","Alt.2",16,3,"08-03","08-03","08-03"
1976,"Median","Alt.2b",16,3,"08-03","08-03","08-03"
1976,"Median","Alt1",16,3,"08-03","08-03","08-03"
1976,"Median","No.Act",16,3,"08-03","08-03","08-03"
1980,"Median","Alt.1b",16,3,"06-19","06-19","06-19"
1980,"Median","Alt.2",16,3,"06-14","06-14","06-14"
1980,"Median","Alt.2b",16,3,"06-18","06-18","06-18"
1980,"Median","Alt1",16,3,"06-14","06-14","06-14"
1983,"Median","Alt.1b",16,3,"06-21","06-21","06-21"
1983,"Median","Alt.2",16,3,"06-15","06-15","06-15"
1983,"Median","Alt.2b",16,3,"06-18","06-18","06-18"
1983,"Median","Alt1",16,3,"06-15","06-15","06-15"
1985,"Median","Alt.1b",16,3,"06-21","06-21","06-21"
1985,"Median","Alt.2",16,3,"06-15","06-15","06-15"
1985,"Median","Alt.2b",16,3,"06-18","06-18","06-18"
1985,"Median","Alt1",16,3,"06-15","06-15","06-15"
1986,"High","Alt.2",16,3,"06-09","06-09","Fail"
1987,"High","Alt.1a",16,3,"06-08","Fail","Fail"
1987,"High","Alt.1b",16,3,"06-18","06-18","06-18"
1987,"High","Alt.2",16,3,"06-10","06-10","06-10"
1987,"High","Alt.2a",16,3,"06-08","06-08","06-08"
1987,"High","Alt.2b",16,3,"06-18","06-18","06-18"
1987,"High","Alt1",16,3,"06-10","06-10","06-10"
1994,"Median","Alt.1b",16,3,"06-15","06-15","06-15"
1997,"High","Alt.1a",16,3,"08-03","08-03","08-03"
1997,"High","Alt.1b",16,3,"08-03","08-03","08-03"
1997,"High","Alt.2",16,3,"08-03","08-03","08-03"
1997,"High","Alt.2a",16,3,"08-03","08-03","08-03"
1997,"High","Alt.2b",16,3,"08-03","08-03","08-03"
1997,"High","Alt1",16,3,"08-03","08-03","08-03"
1997,"High","No.Act",16,3,"08-03","08-03","08-03"
2000,"Median","Alt.1b",16,3,"06-16","06-16","06-16"
2000,"Median","Alt.2b",16,3,"06-14","06-14","06-14"
2000,"Median","Alt1",16,3,"06-14","06-14","06-14"
2011,"Low","Alt.1a",16,3,"06-26","06-26","06-26"
2011,"Low","Alt.1b",16,3,"06-26","06-26","06-26"
2011,"Low","Alt.2",16,3,"06-26","06-26","06-26"
2011,"Low","Alt.2a",16,3,"06-26","06-26","06-26"
2011,"Low","Alt.2b",16,3,"06-26","06-26","06-26"
2011,"Low","Alt1",16,3,"06-26","06-26","06-26"
2011,"Low","No.Act",16,3,"06-26","06-26","06-26"
2012,"Median","Alt1",16,3,"06-14","06-14","06-14"
