"Year","Weather_Pattern","Flow_Scenario","Flow_Threshold","Temp_Threshold","1","3","5"
1930,"Median","Alt.1b",17500,16,"06-15","06-17","06-19"
1930,"Median","Alt.2b",17500,16,"06-15","06-17","06-19"
1949,"High","Alt.1b",17500,16,"06-15","06-17","Fail"
1949,"High","Alt.2b",17500,16,"06-14","06-16","Fail"
1953,"Median","No.Act",17500,16,"07-26","Fail","Fail"
1966,"Low","Alt.2b",17500,16,"06-26","06-26","06-26"
1975,"Median","Alt.1a",17500,16,"08-01","08-03","08-05"
1975,"Median","Alt.1b",17500,16,"08-01","08-03","08-05"
1975,"Median","Alt.2",17500,16,"08-01","08-03","08-05"
1975,"Median","Alt.2a",17500,16,"08-01","08-03","08-05"
1975,"Median","Alt.2b",17500,16,"08-01","08-03","08-05"
1975,"Median","Alt1",17500,16,"08-01","08-03","08-05"
1975,"Median","No.Act",17500,16,"08-01","08-03","08-05"
1976,"Median","Alt.1b",17500,16,"08-01","08-03","08-05"
1976,"Median","Alt.2",17500,16,"08-01","08-03","08-05"
1976,"Median","Alt.2b",17500,16,"08-01","08-03","08-05"
1976,"Median","Alt1",17500,16,"08-01","08-03","08-05"
1976,"Median","No.Act",17500,16,"08-01","08-03","08-05"
1980,"Median","Alt.1b",17500,16,"06-17","06-19","06-21"
1980,"Median","Alt.2",17500,16,"06-14","06-14","06-14"
1980,"Median","Alt.2b",17500,16,"06-16","06-18","06-20"
1980,"Median","Alt1",17500,16,"06-14","06-14","06-14"
1983,"Median","Alt.1b",17500,16,"06-19","06-21","06-23"
1983,"Median","Alt.2",17500,16,"06-15","06-15","06-15"
1983,"Median","Alt.2b",17500,16,"06-16","06-18","06-20"
1983,"Median","Alt1",17500,16,"06-15","06-15","06-16"
1985,"Median","Alt.1b",17500,16,"06-19","06-21","06-23"
1985,"Median","Alt.2",17500,16,"06-15","06-15","06-15"
1985,"Median","Alt.2b",17500,16,"06-16","06-18","06-20"
1985,"Median","Alt1",17500,16,"06-15","06-15","06-16"
1986,"High","Alt.2",17500,16,"06-08","06-09","Fail"
1986,"High","Alt.2b",17500,16,"06-08","Fail","Fail"
1986,"High","Alt1",17500,16,"06-08","Fail","Fail"
1987,"High","Alt.1b",17500,16,"06-16","06-18","06-20"
1987,"High","Alt.2",17500,16,"06-08","06-10","06-12"
1987,"High","Alt.2a",17500,16,"06-08","06-08","06-08"
1987,"High","Alt.2b",17500,16,"06-16","06-18","06-20"
1987,"High","Alt1",17500,16,"06-08","06-10","06-12"
1994,"Median","Alt.1b",17500,16,"06-15","06-15","06-17"
1997,"High","Alt.1a",17500,16,"08-01","08-03","08-05"
1997,"High","Alt.1b",17500,16,"08-01","08-03","08-05"
1997,"High","Alt.2",17500,16,"08-01","08-03","08-05"
1997,"High","Alt.2a",17500,16,"08-01","08-03","08-05"
1997,"High","Alt.2b",17500,16,"08-01","08-03","08-05"
1997,"High","Alt1",17500,16,"08-01","08-03","08-05"
1997,"High","No.Act",17500,16,"08-01","08-03","08-05"
2000,"Median","Alt.1b",17500,16,"06-14","06-16","Fail"
2000,"Median","Alt.2b",17500,16,"06-14","06-14","06-14"
2000,"Median","Alt1",17500,16,"06-14","06-14","06-14"
2011,"Low","Alt.1a",17500,16,"06-26","06-26","06-26"
2011,"Low","Alt.1b",17500,16,"06-26","06-26","06-26"
2011,"Low","Alt.2",17500,16,"06-26","06-26","06-26"
2011,"Low","Alt.2a",17500,16,"06-26","06-26","06-26"
2011,"Low","Alt.2b",17500,16,"06-26","06-26","06-26"
2011,"Low","Alt1",17500,16,"06-26","06-26","06-26"
2011,"Low","No.Act",17500,16,"06-26","06-26","06-26"
2012,"Median","Alt1",17500,16,"06-14","06-14","Fail"
