"Year","Flow_Scenario","Max_Flows","Post_Peak_Date","Post_Peak_Flows","Low_Date","Median_Date","High_Date"
1930,"No.Act",NA,NA,NA,NA,NA,NA
1930,"Alt1",NA,NA,NA,NA,NA,NA
1930,"Alt.1a",NA,NA,NA,NA,NA,NA
1930,"Alt.1b",24600,"1930-06-17",TRUE,NA,"1930-06-14","1930-06-14"
1930,"Alt.2",NA,NA,NA,NA,NA,NA
1930,"Alt.2a",NA,NA,NA,NA,NA,NA
1930,"Alt.2b",28800,"1930-06-17",TRUE,"1930-06-25","1930-06-14","1930-06-14"
1931,"No.Act",NA,NA,NA,NA,NA,NA
1931,"Alt1",NA,NA,NA,NA,NA,NA
1931,"Alt.1a",NA,NA,NA,NA,NA,NA
1931,"Alt.1b",NA,NA,NA,NA,NA,NA
1931,"Alt.2",NA,NA,NA,NA,NA,NA
1931,"Alt.2a",NA,NA,NA,NA,NA,NA
1931,"Alt.2b",NA,NA,NA,NA,NA,NA
1932,"No.Act",NA,NA,NA,NA,NA,NA
1932,"Alt1",NA,NA,NA,NA,NA,NA
1932,"Alt.1a",NA,NA,NA,NA,NA,NA
1932,"Alt.1b",NA,NA,NA,NA,NA,NA
1932,"Alt.2",NA,NA,NA,NA,NA,NA
1932,"Alt.2a",NA,NA,NA,NA,NA,NA
1932,"Alt.2b",NA,NA,NA,NA,NA,NA
1933,"No.Act",NA,NA,NA,NA,NA,NA
1933,"Alt1",NA,NA,NA,NA,NA,NA
1933,"Alt.1a",NA,NA,NA,NA,NA,NA
1933,"Alt.1b",NA,NA,NA,NA,NA,NA
1933,"Alt.2",NA,NA,NA,NA,NA,NA
1933,"Alt.2a",NA,NA,NA,NA,NA,NA
1933,"Alt.2b",NA,NA,NA,NA,NA,NA
1934,"No.Act",NA,NA,NA,NA,NA,NA
1934,"Alt1",NA,NA,NA,NA,NA,NA
1934,"Alt.1a",NA,NA,NA,NA,NA,NA
1934,"Alt.1b",NA,NA,NA,NA,NA,NA
1934,"Alt.2",NA,NA,NA,NA,NA,NA
1934,"Alt.2a",NA,NA,NA,NA,NA,NA
1934,"Alt.2b",NA,NA,NA,NA,NA,NA
1935,"No.Act",NA,NA,NA,NA,NA,NA
1935,"Alt1",NA,NA,NA,NA,NA,NA
1935,"Alt.1a",NA,NA,NA,NA,NA,NA
1935,"Alt.1b",NA,NA,NA,NA,NA,NA
1935,"Alt.2",NA,NA,NA,NA,NA,NA
1935,"Alt.2a",NA,NA,NA,NA,NA,NA
1935,"Alt.2b",NA,NA,NA,NA,NA,NA
1936,"No.Act",NA,NA,NA,NA,NA,NA
1936,"Alt1",NA,NA,NA,NA,NA,NA
1936,"Alt.1a",NA,NA,NA,NA,NA,NA
1936,"Alt.1b",NA,NA,NA,NA,NA,NA
1936,"Alt.2",NA,NA,NA,NA,NA,NA
1936,"Alt.2a",NA,NA,NA,NA,NA,NA
1936,"Alt.2b",NA,NA,NA,NA,NA,NA
1937,"No.Act",NA,NA,NA,NA,NA,NA
1937,"Alt1",NA,NA,NA,NA,NA,NA
1937,"Alt.1a",NA,NA,NA,NA,NA,NA
1937,"Alt.1b",NA,NA,NA,NA,NA,NA
1937,"Alt.2",NA,NA,NA,NA,NA,NA
1937,"Alt.2a",NA,NA,NA,NA,NA,NA
1937,"Alt.2b",NA,NA,NA,NA,NA,NA
1938,"No.Act",NA,NA,NA,NA,NA,NA
1938,"Alt1",NA,NA,NA,NA,NA,NA
1938,"Alt.1a",NA,NA,NA,NA,NA,NA
1938,"Alt.1b",NA,NA,NA,NA,NA,NA
1938,"Alt.2",NA,NA,NA,NA,NA,NA
1938,"Alt.2a",NA,NA,NA,NA,NA,NA
1938,"Alt.2b",NA,NA,NA,NA,NA,NA
1939,"No.Act",NA,NA,NA,NA,NA,NA
1939,"Alt1",NA,NA,NA,NA,NA,NA
1939,"Alt.1a",NA,NA,NA,NA,NA,NA
1939,"Alt.1b",NA,NA,NA,NA,NA,NA
1939,"Alt.2",NA,NA,NA,NA,NA,NA
1939,"Alt.2a",NA,NA,NA,NA,NA,NA
1939,"Alt.2b",NA,NA,NA,NA,NA,NA
1940,"No.Act",NA,NA,NA,NA,NA,NA
1940,"Alt1",NA,NA,NA,NA,NA,NA
1940,"Alt.1a",NA,NA,NA,NA,NA,NA
1940,"Alt.1b",NA,NA,NA,NA,NA,NA
1940,"Alt.2",NA,NA,NA,NA,NA,NA
1940,"Alt.2a",NA,NA,NA,NA,NA,NA
1940,"Alt.2b",NA,NA,NA,NA,NA,NA
1941,"No.Act",NA,NA,NA,NA,NA,NA
1941,"Alt1",NA,NA,NA,NA,NA,NA
1941,"Alt.1a",NA,NA,NA,NA,NA,NA
1941,"Alt.1b",NA,NA,NA,NA,NA,NA
1941,"Alt.2",NA,NA,NA,NA,NA,NA
1941,"Alt.2a",NA,NA,NA,NA,NA,NA
1941,"Alt.2b",NA,NA,NA,NA,NA,NA
1942,"No.Act",NA,NA,NA,NA,NA,NA
1942,"Alt1",NA,NA,NA,NA,NA,NA
1942,"Alt.1a",NA,NA,NA,NA,NA,NA
1942,"Alt.1b",NA,NA,NA,NA,NA,NA
1942,"Alt.2",NA,NA,NA,NA,NA,NA
1942,"Alt.2a",NA,NA,NA,NA,NA,NA
1942,"Alt.2b",NA,NA,NA,NA,NA,NA
1943,"No.Act",NA,NA,NA,NA,NA,NA
1943,"Alt1",NA,NA,NA,NA,NA,NA
1943,"Alt.1a",NA,NA,NA,NA,NA,NA
1943,"Alt.1b",NA,NA,NA,NA,NA,NA
1943,"Alt.2",NA,NA,NA,NA,NA,NA
1943,"Alt.2a",NA,NA,NA,NA,NA,NA
1943,"Alt.2b",NA,NA,NA,NA,NA,NA
1944,"No.Act",NA,NA,NA,NA,NA,NA
1944,"Alt1",NA,NA,NA,NA,NA,NA
1944,"Alt.1a",NA,NA,NA,NA,NA,NA
1944,"Alt.1b",NA,NA,NA,NA,NA,NA
