"","Year","1","1a","1b","2","2a","2b","NoAct","Weather_Pattern"
"1",1930,"","","17-Jun","","","17-Jun","","Median"
"2",1949,"","","17-Jun","","","16-Jun","","High"
"3",1966,"","","","","","25-Jun","","Low"
"4",1975,"02-Jul","02-Jul","02-Jul","02-Jul","02-Jul","02-Jul","02-Jul","Median"
"5",1976,"14-Jun","","14-Jun","14-Jun","","14-Jun","14-Jun","Median"
"6",1980,"14-Jun","","19-Jun","14-Jun","","18-Jun","","Median"
"7",1983,"14-Jun","","21-Jun","14-Jun","","18-Jun","","Median"
"8",1985,"14-Jun","","21-Jun","14-Jun","","18-Jun","","Median"
"9",1986,"","","","09-Jun","","","","High"
"10",1987,"10-Jun","07-Jun","18-Jun","10-Jun","07-Jun","18-Jun","","High"
"11",1994,"","","15-Jun","","","","","Median"
"12",1997,"25-Jun","25-Jun","30-Jun","25-Jun","30-Jun","25-Jun","25-Jun","High"
"13",2000,"14-Jun","","16-Jun","","","14-Jun","","Median"
"14",2011,"25-Jun","25-Jun","25-Jun","25-Jun","25-Jun","25-Jun","25-Jun","Low"
"15",2012,"14-Jun","","","","","","","Median"
