"","Year","1","1a","1b","2","2a","2b","NoAct","Weather_Pattern"
"1",1930,"","","17-Jun","","","17-Jun","","Median"
"2",1949,"","","17-Jun","","","16-Jun","","High"
"3",1966,"","","","","","26-Jun","","Low"
"4",1975,"09-Jul","09-Jul","09-Jul","09-Jul","09-Jul","09-Jul","09-Jul","Median"
"5",1980,"14-Jun","","19-Jun","14-Jun","","18-Jun","","Median"
"6",1983,"15-Jun","","21-Jun","15-Jun","","18-Jun","","Median"
"7",1985,"15-Jun","","21-Jun","15-Jun","","18-Jun","","Median"
"8",1986,"","","","09-Jun","","","","High"
"9",1987,"10-Jun","","18-Jun","10-Jun","08-Jun","18-Jun","","High"
"10",1994,"","","15-Jun","","","","","Median"
"11",1997,"28-Jun","28-Jun","05-Jul","28-Jun","05-Jul","28-Jun","28-Jun","High"
"12",2000,"14-Jun","","16-Jun","","","14-Jun","","Median"
"13",2011,"26-Jun","26-Jun","26-Jun","26-Jun","26-Jun","26-Jun","26-Jun","Low"
"14",2012,"14-Jun","","","","","","","Median"
