"","Year","1","1a","1b","2","2a","2b","NoAct","Weather_Pattern"
"1",1930,"","","0.0382899742513695","","","0.0445878006603342","","Median"
"2",1949,"","","0.154039612198563","","","0.530371230727595","","High"
"3",1966,"","","","","","0.999999996608076","","Low"
"4",1975,"0.22645953384813","0.225389180200802","0.216837268965446","0.217133998718064","0.230429616820162","0.218351435994605","0.217941328611492","Median"
"5",1976,"0.436627852527964","","0.43578841548753","0.371038700266898","","0.436068779697282","0.436319237823661","Median"
"6",1980,"0.431593358845001","","0.920358103673556","0.468147722981561","","0.652241525018748","","Median"
"7",1983,"0.244027511858602","","0.992373728835815","0.167669452411318","","0.929863982657662","","Median"
"8",1985,"0.00726951169055249","","0.660474698674446","0.0238359761049204","","0.0252528059250227","","Median"
"9",1986,"","","","0.99999999998605","","","","High"
"10",1987,"0.795081303223583","0.999380854373202","0.751643768866815","0.779478352855495","0.98014999305741","0.744780284127331","","High"
"11",1994,"","","0.369865286133273","","","","","Median"
"12",1997,"0.926029980468566","0.926092256305868","0.988297061414559","0.933414633520504","0.988297061414559","0.926028239935191","0.925967584185768","High"
"13",2000,"0.639833784458608","","0.995985577016135","","","0.00499039396310663","","Median"
"14",2011,"0.000346750086537048","0.000336366502451487","0.000317789001845333","0.000318001875785415","0.000345796588896005","0.000329447845164108","0.000345796588896005","Low"
"15",2012,"0.0332053584551859","","","","","","","Median"
