"","Year","1","1a","1b","2","2a","2b","NoAct","Weather_Pattern"
"1",1930,"","","0.228114297017563","","","0.129835351459572","","Median"
"2",1949,"","","0.99914103093142","","","0.99998399024305","","High"
"3",1966,"","","","","","0.999222667488522","","Low"
"4",1975,"0.323588001933052","0.339089517668163","0.33153576408861","0.639061119337795","0.345248036273541","0.319121377435938","0.318583461255605","Median"
"5",1980,"0.0403795369549513","","0.065584142941595","0.733631479672553","","0.0530338320299079","","Median"
"6",1983,"0.335683182981344","","0.785694388635715","0.997095140202118","","0.704612448155009","","Median"
"7",1985,"0.00529347309195576","","0.310758399602738","0.946857561050642","","0.0112363041226501","","Median"
"8",1986,"","","","0.999999999999998","","","","High"
"9",1987,"0.809592366849792","","0.568341793389124","0.784215594793559","0.966700120378143","0.598739713830858","","High"
"10",1994,"","","0.0773409455982573","","","","","Median"
"11",1997,"0.995361909045659","0.912861575049865","0.942524876402983","0.894315577897341","0.964343677430103","0.912752165738224","0.895501528739368","High"
"12",2000,"0.696351358167682","","0.63219907803083","","","0.695965186127754","","Median"
"13",2011,"0.0139851132789352","0.00608294714330758","0.00475676740549533","0.0132890341442281","0.00619360248451979","0.0059664925539953","0.00508747159288771","Low"
"14",2012,"0.124380022068966","","","","","","","Median"
