"Year","NoAct","1","1a","1b","2","2a","2b"
1983,0,0.952568765664896,0,0.977245438334663,0.946887965676889,0,0.97594943765538
1984,0,0,0,0,0,0,0
1985,0,0.907309232236859,0,0.969409980163998,0.921080223170107,0,0.921778581357191
1986,0,0,0,0,0.977399088129228,0,0
1987,0,0.972900175624767,0.977386648591696,0.971829476263382,0.972521088294307,0.976997199970047,0.971655790733139
1988,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0.959254191001715,0,0,0
1995,0,0,0,0,0,0,0
