"flow_scenario","E_time","time_80","param_id"
"1",78.2584,80,"1"
"1a",76.1468,77,"1"
"1b",81.5898,83,"1"
"2",78.8024,80,"1"
"2a",76.2116,77,"1"
"2b",80.4646,82,"1"
"NoAct",75.0878,76,"1"
"1",78.0232,79,"2"
"1a",75.9982,77,"2"
"1b",81.24,83,"2"
"2",78.5496,80,"2"
"2a",76.0612,77,"2"
"2b",80.1448,82,"2"
"NoAct",74.9828,75,"2"
"1",78.4988,80,"3"
"1a",76.3044,77,"3"
"1b",81.9206,83,"3"
"2",79.0448,81,"3"
"2a",76.3712,78,"3"
"2b",80.7792,83,"3"
"NoAct",75.194,76,"3"
"1",85.0682,88,"4"
"1a",80.4686,83,"4"
"1b",91.9568,96,"4"
"2",86.1054,90,"4"
"2a",80.6002,83,"4"
"2b",89.5256,93,"4"
"NoAct",78.2482,81,"4"
"1",94.4176,100,"5"
"1a",85.9804,91,"5"
"1b",109.7492,120,"5"
"2",96.4598,103,"5"
"2a",86.2222,92,"5"
"2b",104.0806,113,"5"
"NoAct",82.2964,87,"5"
"1",104.4068,114,"6"
"1a",91.201,99,"6"
"1b",-99,145,"6"
"2",107.7588,119,"6"
"2a",91.5326,100,"6"
"2b",120.4478,134,"6"
"NoAct",85.9104,92,"6"
"1",115.107,129,"7"
"1a",96.3102,108,"7"
"1b",-99,174,"7"
"2",119.6406,136,"7"
"2a",96.757,108,"7"
"2b",-99,158,"7"
"NoAct",89.3432,97,"7"
"1",-99,144,"8"
"1a",-99,116,"8"
"1b",-99,Inf,"8"
"2",-99,152,"8"
"2a",-99,116,"8"
"2b",-99,183,"8"
"NoAct",92.729,103,"8"
"1",-99,160,"9"
"1a",-99,124,"9"
"1b",-99,Inf,"9"
"2",-99,170,"9"
"2a",-99,125,"9"
"2b",-99,Inf,"9"
"NoAct",96.0354,108,"9"
"1",-99,176,"10"
"1a",-99,131,"10"
"1b",-99,Inf,"10"
"2",-99,190,"10"
"2a",-99,133,"10"
"2b",-99,Inf,"10"
"NoAct",99.4274,113,"10"
"1",-99,195,"11"
"1a",-99,139,"11"
"1b",-99,Inf,"11"
"2",-99,Inf,"11"
"2a",-99,141,"11"
"2b",-99,Inf,"11"
"NoAct",-99,119,"11"
"1",-99,Inf,"12"
"1a",-99,147,"12"
"1b",-99,Inf,"12"
"2",-99,Inf,"12"
"2a",-99,149,"12"
"2b",-99,Inf,"12"
"NoAct",-99,124,"12"
"1",-99,Inf,"13"
"1a",-99,156,"13"
"1b",-99,Inf,"13"
"2",-99,Inf,"13"
"2a",-99,158,"13"
"2b",-99,Inf,"13"
"NoAct",-99,129,"13"
"1",78.2042,79,"14"
"1a",76.1242,77,"14"
"1b",81.413,83,"14"
"2",78.7266,80,"14"
"2a",76.1874,77,"14"
"2b",80.3284,82,"14"
"NoAct",75.0814,76,"14"
"1",78.2998,80,"15"
"1a",76.16,77,"15"
"1b",81.7412,84,"15"
"2",78.861,80,"15"
"2a",76.2288,77,"15"
"2b",80.57,82,"15"
"NoAct",75.0916,76,"15"
"1",78.0214,79,"16"
"1a",75.9962,77,"16"
"1b",81.2376,83,"16"
"2",78.5486,80,"16"
"2a",76.059,77,"16"
"2b",80.1428,82,"16"
"NoAct",74.9796,75,"16"
"1",78.5002,80,"17"
"1a",76.3072,77,"17"
"1b",81.9224,83,"17"
"2",79.0466,81,"17"
"2a",76.3732,78,"17"
"2b",80.781,83,"17"
"NoAct",75.1968,76,"17"
"1",78.0228,79,"18"
"1a",75.9952,77,"18"
"1b",81.2398,83,"18"
"2",78.5486,80,"18"
"2a",76.0584,77,"18"
"2b",80.1428,82,"18"
"NoAct",74.9784,75,"18"
"1",78.5004,80,"19"
"1a",76.308,77,"19"
"1b",81.9206,83,"19"
"2",79.0464,81,"19"
"2a",76.3738,78,"19"
"2b",80.7784,83,"19"
"NoAct",75.198,76,"19"
"1",77.9664,79,"20"
"1a",75.9466,77,"20"
"1b",81.1892,83,"20"
"2",78.4918,80,"20"
"2a",76.0084,77,"20"
"2b",80.0862,82,"20"
"NoAct",74.9294,75,"20"
"1",78.5532,80,"21"
"1a",76.364,77,"21"
"1b",81.972,84,"21"
"2",79.1056,81,"21"
"2a",76.4322,78,"21"
"2b",80.8308,83,"21"
"NoAct",75.2452,76,"21"
"1",77.8926,79,"22"
"1a",75.8078,77,"22"
"1b",81.1092,83,"22"
"2",78.4024,80,"22"
"2a",75.8712,77,"22"
"2b",80.001,82,"22"
"NoAct",74.79,75,"22"
"1",78.634,80,"23"
"1a",76.4432,78,"23"
"1b",82.0446,84,"23"
"2",79.194,81,"23"
"2a",76.5158,78,"23"
"2b",80.9084,83,"23"
"NoAct",75.327,76,"23"
"1",77.8788,79,"24"
"1a",75.788,77,"24"
"1b",81.0904,83,"24"
"2",78.383,80,"24"
"2a",75.8514,77,"24"
"2b",79.9872,82,"24"
"NoAct",74.769,75,"24"
"1",78.6518,80,"25"
"1a",76.4634,78,"25"
"1b",82.0512,84,"25"
"2",79.2092,81,"25"
"2a",76.5294,78,"25"
"2b",80.9204,83,"25"
"NoAct",75.3494,76,"25"
"1",77.8412,79,"26"
"1a",75.7528,77,"26"
"1b",81.0552,83,"26"
"2",78.3432,80,"26"
"2a",75.816,77,"26"
"2b",79.9564,82,"26"
"NoAct",74.726,75,"26"
"1",78.6896,80,"27"
"1a",76.4988,78,"27"
"1b",82.0826,84,"27"
"2",79.251,81,"27"
"2a",76.5724,78,"27"
"2b",80.9664,83,"27"
"NoAct",75.3852,76,"27"
"1",77.7874,79,"28"
"1a",75.7012,77,"28"
"1b",81.0146,83,"28"
"2",78.2918,80,"28"
"2a",75.7662,77,"28"
"2b",79.915,82,"28"
"NoAct",74.6766,75,"28"
"1",78.7302,80,"29"
"1a",76.5412,78,"29"
"1b",82.1274,84,"29"
"2",79.2936,81,"29"
