"flow_scenario","E_time","time_80","param_id"
"1",70.0222,72,1
"1a",67.0388,69,1
"1b",75.012,78,1
"2",70.7718,73,1
"2a",67.1304,69,1
"2b",73.3758,76,1
"NoAct",65.5006,67,1
"1",69.6626,71,2
"1a",66.8236,68,2
"1b",74.4272,77,2
"2",70.3902,72,2
"2a",66.9276,69,2
"2b",72.871,75,2
"NoAct",65.338,66,2
"1",70.3714,72,3
"1a",67.2604,69,3
"1b",75.5872,79,3
"2",71.1754,74,3
"2a",67.371,69,3
"2b",73.8662,76,3
"NoAct",65.649,67,3
"1",81.08,87,4
"1a",73.7798,79,4
"1b",93.0288,101,4
"2",82.8258,89,4
"2a",74.0102,79,4
"2b",88.9646,95,4
"NoAct",70.3104,74,4
"1",96.8144,107,5
"1a",82.91,93,5
"1b",118.6616,132,5
"2",99.6514,111,5
"2a",83.2692,93,5
"2b",111.1758,123,5
"NoAct",76.8764,84,5
"1",110.9094,124,6
"1a",90.785,104,6
"1b",-99,163,6
"2",115.0802,131,6
"2a",91.2502,105,6
"2b",-99,150,6
"NoAct",82.646,93,6
"1",-99,142,7
"1a",98.0292,115,7
"1b",-99,200,7
"2",-99,150,7
"2a",98.6858,116,7
"2b",-99,178,7
"NoAct",87.8806,102,7
"1",-99,161,8
"1a",-99,125,8
"1b",-99,Inf,8
"2",-99,172,8
"2a",-99,126,8
"2b",-99,Inf,8
"NoAct",92.767,109,8
"1",-99,181,9
"1a",-99,135,9
"1b",-99,Inf,9
"2",-99,194,9
"2a",-99,136,9
"2b",-99,Inf,9
"NoAct",-99,115,9
"1",-99,Inf,10
"1a",-99,145,10
"1b",-99,Inf,10
"2",-99,Inf,10
"2a",-99,146,10
"2b",-99,Inf,10
"NoAct",-99,121,10
"1",-99,Inf,11
"1a",-99,155,11
"1b",-99,Inf,11
"2",-99,Inf,11
"2a",-99,156,11
"2b",-99,Inf,11
"NoAct",-99,128,11
"1",-99,Inf,12
"1a",-99,163,12
"1b",-99,Inf,12
"2",-99,Inf,12
"2a",-99,166,12
"2b",-99,Inf,12
"NoAct",-99,135,12
"1",-99,Inf,13
"1a",-99,174,13
"1b",-99,Inf,13
"2",-99,Inf,13
"2a",-99,176,13
"2b",-99,Inf,13
"NoAct",-99,141,13
"1",69.8098,72,14
"1a",66.851,69,14
"1b",74.7654,78,14
"2",70.5566,73,14
"2a",66.9578,69,14
"2b",73.1316,76,14
"NoAct",65.3162,66,14
"1",70.3196,72,15
"1a",67.2898,69,15
"1b",75.3278,78,15
"2",71.084,73,15
"2a",67.3936,69,15
"2b",73.6792,76,15
"NoAct",65.747,67,15
"1",69.6616,71,16
"1a",66.8194,68,16
"1b",74.423,77,16
"2",70.3884,72,16
"2a",66.9254,69,16
"2b",72.8696,75,16
"NoAct",65.3354,66,16
"1",70.3734,72,17
"1a",67.261,69,17
"1b",75.5874,79,17
"2",71.1768,74,17
"2a",67.3728,69,17
"2b",73.8678,76,17
"NoAct",65.6496,67,17
"1",69.6612,71,18
"1a",66.8178,68,18
"1b",74.4242,77,18
"2",70.391,72,18
"2a",66.9238,69,18
"2b",72.8708,75,18
"NoAct",65.3326,66,18
"1",70.373,72,19
"1a",67.2618,69,19
"1b",75.5864,79,19
"2",71.1788,74,19
"2a",67.375,69,19
"2b",73.8708,76,19
"NoAct",65.6514,67,19
"1",69.6676,71,20
