"param_id","phi0_MR","max_age","phi","age_id","psi","eggs","probF","gamma","retention"
1,7.5e-05,NA,NA,NA,NA,NA,NA,NA,NA
2,7.125e-05,NA,NA,NA,NA,NA,NA,NA,NA
3,7.875e-05,NA,NA,NA,NA,NA,NA,NA,NA
4,2e-04,NA,NA,NA,NA,NA,NA,NA,NA
5,4e-04,NA,NA,NA,NA,NA,NA,NA,NA
6,6e-04,NA,NA,NA,NA,NA,NA,NA,NA
7,8e-04,NA,NA,NA,NA,NA,NA,NA,NA
8,0.001,NA,NA,NA,NA,NA,NA,NA,NA
9,0.0012,NA,NA,NA,NA,NA,NA,NA,NA
10,0.0014,NA,NA,NA,NA,NA,NA,NA,NA
11,0.0016,NA,NA,NA,NA,NA,NA,NA,NA
12,0.0018,NA,NA,NA,NA,NA,NA,NA,NA
13,0.002,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,99,NA,NA,NA,NA,NA,NA,NA
15,NA,101,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,0.608,1,NA,NA,NA,NA,NA
17,NA,NA,0.672,1,NA,NA,NA,NA,NA
18,NA,NA,0.6555,2,NA,NA,NA,NA,NA
19,NA,NA,0.7245,2,NA,NA,NA,NA,NA
20,NA,NA,0.684,3,NA,NA,NA,NA,NA
21,NA,NA,0.756,3,NA,NA,NA,NA,NA
22,NA,NA,0.722,4,NA,NA,NA,NA,NA
23,NA,NA,0.798,4,NA,NA,NA,NA,NA
24,NA,NA,0.7505,5,NA,NA,NA,NA,NA
25,NA,NA,0.8295,5,NA,NA,NA,NA,NA
26,NA,NA,0.779,6,NA,NA,NA,NA,NA
27,NA,NA,0.861,6,NA,NA,NA,NA,NA
28,NA,NA,0.798,7,NA,NA,NA,NA,NA
29,NA,NA,0.882,7,NA,NA,NA,NA,NA
30,NA,NA,0.817,8,NA,NA,NA,NA,NA
31,NA,NA,0.903,8,NA,NA,NA,NA,NA
32,NA,NA,0.836,9,NA,NA,NA,NA,NA
33,NA,NA,0.924,9,NA,NA,NA,NA,NA
34,NA,NA,0.85025,10,NA,NA,NA,NA,NA
35,NA,NA,0.93975,10,NA,NA,NA,NA,NA
36,NA,NA,0.8645,11,NA,NA,NA,NA,NA
37,NA,NA,0.9555,11,NA,NA,NA,NA,NA
38,NA,NA,0.874,12,NA,NA,NA,NA,NA
39,NA,NA,0.966,12,NA,NA,NA,NA,NA
40,NA,NA,0.8835,13,NA,NA,NA,NA,NA
41,NA,NA,0.9765,13,NA,NA,NA,NA,NA
42,NA,NA,0.88825,14,NA,NA,NA,NA,NA
43,NA,NA,0.98175,14,NA,NA,NA,NA,NA
44,NA,NA,0.893,15,NA,NA,NA,NA,NA
45,NA,NA,0.987,15,NA,NA,NA,NA,NA
46,NA,NA,0.893,16,NA,NA,NA,NA,NA
47,NA,NA,0.987,16,NA,NA,NA,NA,NA
48,NA,NA,0.893,17,NA,NA,NA,NA,NA
49,NA,NA,0.987,17,NA,NA,NA,NA,NA
50,NA,NA,0.893,18,NA,NA,NA,NA,NA
51,NA,NA,0.987,18,NA,NA,NA,NA,NA
52,NA,NA,0.893,19,NA,NA,NA,NA,NA
53,NA,NA,0.987,19,NA,NA,NA,NA,NA
54,NA,NA,0.893,20,NA,NA,NA,NA,NA
55,NA,NA,0.987,20,NA,NA,NA,NA,NA
56,NA,NA,0.893,21,NA,NA,NA,NA,NA
57,NA,NA,0.987,21,NA,NA,NA,NA,NA
58,NA,NA,0.893,22,NA,NA,NA,NA,NA
59,NA,NA,0.987,22,NA,NA,NA,NA,NA
60,NA,NA,0.893,23,NA,NA,NA,NA,NA
61,NA,NA,0.987,23,NA,NA,NA,NA,NA
62,NA,NA,0.893,24,NA,NA,NA,NA,NA
63,NA,NA,0.987,24,NA,NA,NA,NA,NA
64,NA,NA,0.893,25,NA,NA,NA,NA,NA
65,NA,NA,0.987,25,NA,NA,NA,NA,NA
66,NA,NA,0.893,26,NA,NA,NA,NA,NA
67,NA,NA,0.987,26,NA,NA,NA,NA,NA
68,NA,NA,0.893,27,NA,NA,NA,NA,NA
69,NA,NA,0.987,27,NA,NA,NA,NA,NA
70,NA,NA,0.893,28,NA,NA,NA,NA,NA
71,NA,NA,0.987,28,NA,NA,NA,NA,NA
72,NA,NA,0.893,29,NA,NA,NA,NA,NA
73,NA,NA,0.987,29,NA,NA,NA,NA,NA
74,NA,NA,0.893,30,NA,NA,NA,NA,NA
75,NA,NA,0.987,30,NA,NA,NA,NA,NA
76,NA,NA,0.893,31,NA,NA,NA,NA,NA
77,NA,NA,0.987,31,NA,NA,NA,NA,NA
78,NA,NA,0.893,32,NA,NA,NA,NA,NA
79,NA,NA,0.987,32,NA,NA,NA,NA,NA
80,NA,NA,0.893,33,NA,NA,NA,NA,NA
81,NA,NA,0.987,33,NA,NA,NA,NA,NA
82,NA,NA,0.893,34,NA,NA,NA,NA,NA
83,NA,NA,0.987,34,NA,NA,NA,NA,NA
84,NA,NA,0.893,35,NA,NA,NA,NA,NA
85,NA,NA,0.987,35,NA,NA,NA,NA,NA
86,NA,NA,0.893,36,NA,NA,NA,NA,NA
87,NA,NA,0.987,36,NA,NA,NA,NA,NA
88,NA,NA,0.893,37,NA,NA,NA,NA,NA
89,NA,NA,0.987,37,NA,NA,NA,NA,NA
90,NA,NA,0.893,38,NA,NA,NA,NA,NA
91,NA,NA,0.987,38,NA,NA,NA,NA,NA
92,NA,NA,0.893,39,NA,NA,NA,NA,NA
93,NA,NA,0.987,39,NA,NA,NA,NA,NA
94,NA,NA,0.893,40,NA,NA,NA,NA,NA
95,NA,NA,0.987,40,NA,NA,NA,NA,NA
96,NA,NA,0.893,41,NA,NA,NA,NA,NA
97,NA,NA,0.987,41,NA,NA,NA,NA,NA
98,NA,NA,0.893,42,NA,NA,NA,NA,NA
99,NA,NA,0.987,42,NA,NA,NA,NA,NA
100,NA,NA,0.893,43,NA,NA,NA,NA,NA
101,NA,NA,0.987,43,NA,NA,NA,NA,NA
102,NA,NA,0.893,44,NA,NA,NA,NA,NA
103,NA,NA,0.987,44,NA,NA,NA,NA,NA
104,NA,NA,0.893,45,NA,NA,NA,NA,NA
105,NA,NA,0.987,45,NA,NA,NA,NA,NA
106,NA,NA,0.893,46,NA,NA,NA,NA,NA
107,NA,NA,0.987,46,NA,NA,NA,NA,NA
108,NA,NA,0.893,47,NA,NA,NA,NA,NA
109,NA,NA,0.987,47,NA,NA,NA,NA,NA
110,NA,NA,0.893,48,NA,NA,NA,NA,NA
111,NA,NA,0.987,48,NA,NA,NA,NA,NA
112,NA,NA,0.893,49,NA,NA,NA,NA,NA
113,NA,NA,0.987,49,NA,NA,NA,NA,NA
114,NA,NA,0.893,50,NA,NA,NA,NA,NA
115,NA,NA,0.987,50,NA,NA,NA,NA,NA
116,NA,NA,0.893,51,NA,NA,NA,NA,NA
117,NA,NA,0.987,51,NA,NA,NA,NA,NA
