"scenario","year","temperature_flow","p_retained","spawn_date","id","lambda","lambda_25","lambda_50","lambda_75"
"Alt1",2012,"H",0.0144411892557228,NA,1,0.80910052827356,0.859397047839076,0.871079339346098,0.878097624837349
"Alt1",2012,"M",0.00999079322937905,NA,2,0.803672403043351,0.853332803440453,0.86482333893595,0.871714568973237
"Alt1",2012,"L",0.00728944978315037,NA,3,0.799072836873677,0.848216611532174,0.859554532851223,0.866345390834959
"Alt1",2011,"H",0.00295908718349254,NA,4,0.786135189113348,0.833919851910833,0.844869053062054,0.851407323941807
"Alt1",2011,"M",0.00128272239718392,NA,5,0.774408786290531,0.821060088662811,0.831698235098392,0.838037556496436
"Alt1",2011,"L",0.000464231572828118,NA,6,0.76047398816234,0.805873122156417,0.816179768507448,0.822310027967392
"Alt1",1998,"H",0.00097263609965897,NA,7,0.770580526649173,0.816878582532251,0.827421994728072,0.833701269047077
"Alt1",1998,"M",0.0006745726782647,NA,8,0.765557854963361,0.811403403187111,0.82182688426289,0.828030491740136
"Alt1",1998,"L",0.00045457234775418,NA,9,0.760189277530767,0.805563734887339,0.815863963998103,0.821990204919008
"Alt1",1985,"H",0.00119819361236424,NA,10,0.77346330608069,0.820026660330684,0.83064112682482,0.836965415415651
"Alt1",1985,"M",0.000999761408698698,NA,11,0.770959886171458,0.817292613534062,0.827845279972345,0.834130409156706
"Alt1",1985,"L",0.000808973608116425,NA,12,0.768046073245042,0.81411430047563,0.824596604905355,0.830837276819984
"Alt1",1984,"H",0.00520035950434794,NA,13,0.794189865008626,0.842805429311479,0.853990128117853,0.860680894436074
"Alt1",1984,"M",0.00408299984147211,NA,14,0.790719554401594,0.838971308536468,0.850052080923494,0.856675349487887
"Alt1",1984,"L",0.00318810973722764,NA,15,0.787193245639779,0.83508440999207,0.846063430430216,0.852620920717336
"Alt1",1983,"H",0.0134937065185419,NA,16,0.808096343631003,0.858272885476574,0.869918681157669,0.87691270549016
"Alt1",1983,"M",0.00963736010717524,NA,17,0.803144819714145,0.852744962191577,0.864217554475574,0.871096948779174
"Alt1",1983,"L",0.00673607566753634,NA,18,0.797927197334068,0.846945245763275,0.858246441745621,0.865013246665652
"Alt1",1980,"H",0.00105905876875168,NA,19,0.771755374102515,0.818161038995404,0.828733204308714,0.835030677506166
"Alt1",1980,"M",0.000965871938798061,NA,20,0.770484319321758,0.816773593725855,0.827314663534892,0.833592456271942
"Alt1",1980,"L",0.000473218438886592,NA,21,0.760733733624169,0.806155409543631,0.816467921680649,0.822601855266439
"Alt1",1975,"H",0.145831184161478,NA,22,0.84463786502078,0.900099855583188,0.913499684096468,0.921695480538168
"Alt1",1975,"M",0.104725295987144,NA,23,0.839375992506826,0.893931811918668,0.907010247785103,0.914981189862326
"Alt1",1975,"L",0.06833722023206,NA,24,0.83268431876586,0.886171058136113,0.898880905750544,0.906596194514812
"Alt1",1968,"H",0.000602258312051233,NA,25,0.764010431729642,0.80971891424432,0.820106370458194,0.826287323996164
"Alt1",1968,"M",0.000494476355260571,NA,26,0.761329465662466,0.80680294753542,0.817128953846902,0.823271343038427
"Alt1",1968,"L",0.000409766096756743,NA,27,0.758786226183384,0.804039558655618,0.814308349472749,0.820414918417559
"Alt1a",2011,"H",0.00420793620821975,NA,28,0.791150732640892,0.839447193517456,0.850540667635747,0.857172168659934
"Alt1a",2011,"M",0.000388980820349293,NA,29,0.758083674935955,0.803276652842629,0.813529815685105,0.819626614892529
"Alt1a",2011,"L",0.000177561324340293,NA,30,0.747602079355063,0.791916428751996,0.801944738063426,0.807901622042087
"Alt1a",1985,"H",0.000233012422178086,NA,31,0.751213133403024,0.795825766321715,0.805929872201534,0.811933788062668
"Alt1a",1985,"M",0.000190490424241879,NA,32,0.748533813070114,0.79292470625449,0.802972415519673,0.808941324781163
"Alt1a",1985,"L",0.00015850137222235,NA,33,0.746099925532866,0.790291467465081,0.8002887225154,0.806226374614271
"Alt1a",1975,"H",0.0733636230920493,NA,34,0.833789934719286,0.887447376421151,0.900215285838444,0.907970674326873
"Alt1a",1975,"M",0.0495839352041182,NA,35,0.827720324097173,0.880467206240421,0.892928961096358,0.900473693534511
"Alt1a",1975,"L",0.0333269791730169,NA,36,0.821644821500445,0.87354029945023,0.885723828117697,0.893078916433802
"Alt1a",1968,"H",0.0102591537048596,NA,37,0.804061020214038,0.853765978037874,0.865269805997282,0.872169809963059
"Alt1a",1968,"M",0.00955569506061017,NA,38,0.803020242980596,0.852606195780998,0.864074568274489,0.870951180449983
"Alt1a",1968,"L",0.00961360227044107,NA,39,0.803108684216977,0.85270470922671,0.864176076823033,0.871054663631661
"Alt1b",2011,"H",0.00544490401757861,NA,40,0.794851669984507,0.843537675965326,0.854742647127859,0.861446616813791
"Alt1b",2011,"M",0.00240669388429109,NA,41,0.783213205645265,0.830707606153883,0.841576065581879,0.8480624263068
"Alt1b",2011,"L",0.000877276125743525,NA,42,0.769159670608445,0.815328497957319,0.825837500170802,0.832095024892311
"Alt1b",1998,"H",0.00397994552586867,NA,43,0.790354117004807,0.838568088043968,0.849638140765559,0.856254465206829
"Alt1b",1998,"M",0.00183973099759378,NA,44,0.779437466840743,0.826564765476354,0.837332189625184,0.843753859379329
"Alt1b",1998,"L",0.00142185446897054,NA,45,0.775840071836256,0.822625422156601,0.833299782962216,0.839662124809252
"Alt1b",1985,"H",0.0806352704444664,NA,46,0.835266397854006,0.889155351023977,0.902002490738509,0.90981270579501
"Alt1b",1985,"M",0.0587329986733218,NA,47,0.830333982035484,0.88346513755364,0.896055023073781,0.903687678804778
"Alt1b",1985,"L",0.0401681508239236,NA,48,0.824490211005451,0.876777457447019,0.88908803569663,0.896529499820342
"Alt1b",1983,"H",0.0743175146229395,NA,49,0.833991468186944,0.887680268918125,0.900458877736193,0.908221662951465
"Alt1b",1983,"M",0.054048907652443,NA,50,0.829049305478275,0.881990153219516,0.894516386086732,0.902105318916942
"Alt1b",1983,"L",0.00980803238762689,NA,51,0.80340189481106,0.853031365770513,0.864512686556811,0.871397837221108
"Alt1b",1980,"H",0.00050782324875771,NA,52,0.761690850693972,0.807195831435651,0.817530051601909,0.823677589964129
"Alt1b",1980,"M",0.000366091407277664,NA,53,0.757266267222892,0.80238926813369,0.812624342005507,0.818709840560774
"Alt1b",1980,"L",0.000249198678458244,NA,54,0.752108933770943,0.796796256007367,0.806919425413755,0.81293519100494
"Alt1b",1975,"H",0.0970361184833476,NA,55,0.838173164076727,0.892530264830291,0.905539304830576,0.913461922245099
"Alt1b",1975,"M",0.0898144398829929,NA,56,0.83695665882418,0.891115793989326,0.904056097976197,0.911930935011067
"Alt1b",1975,"L",0.0231624522235914,NA,57,0.816147937614925,0.867318568191159,0.879271433468262,0.88647071651207
"Alt1b",1966,"H",0.00480838654662834,NA,58,0.793063131408848,0.841559562258966,0.852710087073832,0.859378623195561
"Alt1b",1966,"M",0.00346552711935437,NA,59,0.78837991895259,0.836391445748814,0.84740429367895,0.853983618295083
"Alt1b",1966,"L",0.00291700071639717,NA,60,0.785932110177403,0.833696418016456,0.844639931949143,0.851174540201279
"Alt2",2012,"H",0.00758798716402371,NA,61,0.799656238622841,0.848864477548302,0.860221291723277,0.867024538758788
"Alt2",2012,"M",0.00526877556010385,NA,62,0.794378018430889,0.843013574085049,0.854204021199049,0.860898530160752
"Alt2",2012,"L",0.00380007392386992,NA,63,0.789693632965929,0.837839562920715,0.848890345758203,0.855494195789999
"Alt2",2011,"H",0.00528815451221523,NA,64,0.794430881238579,0.843072058634879,0.854264122934418,0.860959684997937
"Alt2",2011,"M",0.00232080816746779,NA,65,0.782700939377628,0.830145019078489,0.840999558421546,0.847476988861053
"Alt2",2011,"L",0.000824013333003557,NA,66,0.768298953425267,0.814389973422354,0.824878319931837,0.831122804187366
"Alt2",1998,"H",0.000869645225780871,NA,67,0.769039537563038,0.815197483739322,0.825703594505284,0.83195929308869
"Alt2",1998,"M",0.000586092126390933,NA,68,0.763639741018133,0.809315546110115,0.81969443392695,0.825870004299663
"Alt2",1998,"L",0.000369205472782883,NA,69,0.757380360954453,0.802513113584048,0.812750706305259,0.818837777967315
"Alt2",1987,"H",0.098041109886091,NA,70,0.838335492575107,0.892719236887584,0.905737558179945,0.913666633809455
"Alt2",1987,"M",0.0870708086686709,NA,71,0.8364695966761,0.890550302054028,0.903463484691681,0.911319492664904
"Alt2",1987,"L",0.0771305358992491,NA,72,0.834571570249369,0.888351060416486,0.901160669207049,0.908944898043017
"Alt2",1986,"H",0.104421711234233,NA,73,0.839330140776868,0.893878329791162,0.906954093675431,0.914923173523905
"Alt2",1986,"M",0.0674602450391507,NA,74,0.832483404326485,0.885939362965756,0.898638773478208,0.906346861152066
"Alt2",1986,"L",0.0424578860398488,NA,75,0.82533838117086,0.877744744502697,0.890094282006903,0.897562309142298
"Alt2",1985,"H",0.000889839626049442,NA,76,0.769355253850989,0.815541811268436,0.826055526838611,0.832316028838849
"Alt2",1985,"M",0.000702619537672584,NA,77,0.766114791974901,0.812009934878673,0.82244648491011,0.828658319144625
"Alt2",1985,"L",0.000541459647936237,NA,78,0.762562005839465,0.808143144298257,0.818497252751046,0.824657266016336
"Alt2",1984,"H",0.0061678817520657,NA,79,0.796651411098329,0.845530769807088,0.856791639441077,0.86353207812342
"Alt2",1984,"M",0.00469154360106167,NA,80,0.792709928392153,0.841169216974518,0.852309115815143,0.858970746723052
"Alt2",1984,"L",0.00354039338961691,NA,81,0.788684315881649,0.836726875718203,0.847748467457509,0.854333441317146
"Alt2",1983,"H",0.00257664888465104,NA,82,0.784176424307165,0.831765895079715,0.842660715653454,0.849164003511861
"Alt2",1983,"M",0.00199503479196507,NA,83,0.780573815684658,0.82781068652262,0.838608143514983,0.845049011994762
"Alt2",1983,"L",0.00147930567759035,NA,84,0.776391604011934,0.823228906650512,0.833917342963412,0.840288642174576
"Alt2",1980,"H",0.000741408297979697,NA,85,0.766850296423619,0.812811152354528,0.823265046950687,0.829487806387623
"Alt2",1980,"M",0.000555369000498054,NA,86,0.762906897973864,0.808518276760671,0.818880293769879,0.825045270498251
"Alt2",1980,"L",0.000390167411555976,NA,87,0.758124758196988,0.803321260094323,0.813575334750645,0.819672703806428
"Alt2",1975,"H",0.118881255708948,NA,88,0.841383191811191,0.896277433677368,0.909474959312909,0.917529024108175
"Alt2",1975,"M",0.0866171653495908,NA,89,0.836387640422407,0.890455194803565,0.903363835933582,0.911216692287554
"Alt2",1975,"L",0.0580509802156589,NA,90,0.830153224074509,0.883257432788805,0.895838281920609,0.9034647253057
"Alt2",1968,"H",0.000534852204737028,NA,91,0.762395128209988,0.807961653016425,0.818311941987953,0.824469558699134
"Alt2",1968,"M",0.000452971352167095,NA,92,0.760141517416409,0.805511838529396,0.815810992408041,0.821936560109857
"Alt2",1968,"L",0.000384963872533592,NA,93,0.757943682253538,0.803124657027433,0.813374714748227,0.81946957352971
"Alt2",1966,"H",0.00322564923760977,NA,94,0.787359578089168,0.835267554533437,0.846251291812073,0.852811824624927
"Alt2",1966,"M",0.0027853672037477,NA,95,0.785278001384678,0.832976933720333,0.843902207386261,0.850425075090321
"Alt2",1966,"L",0.00220524813206286,NA,96,0.781981732448676,0.829355440587687,0.840190551193804,0.846655526715806
"Alt2a",2012,"H",0.00493269504593347,NA,97,0.793429847865627,0.841964944086283,0.853126544961533,0.859802282311006
"Alt2a",2012,"M",0.00335842636741126,NA,98,0.787933139239687,0.835899234981084,0.846899298698414,0.853470367661618
"Alt2a",2012,"L",0.00233621477059076,NA,99,0.782794177400951,0.830247403733395,0.84110447159399,0.847583523759958
"Alt2a",2011,"H",0.00637982680664216,NA,100,0.797140175350114,0.846072505161209,0.857348754130988,0.864099242554667
"Alt2a",2011,"M",0.00291574504028692,NA,101,0.785926007443449,0.83368970402225,0.844633047226621,0.851167545542558
"Alt2a",2011,"L",0.00105623153193994,NA,102,0.771718443886734,0.818120715615909,0.828691972877441,0.834988870988838
"Alt2a",1998,"H",0.0108959984921391,NA,103,0.804945091496845,0.854751962674101,0.866286271990921,0.873206414720225
"Alt2a",1998,"M",0.00836403304493726,NA,104,0.801074267360848,0.850440459518585,0.86184374600352,0.868677511429434
"Alt2a",1998,"L",0.00629595939700159,NA,105,0.796948685281773,0.845860238034147,0.857130451342598,0.863876994894684
"Alt2a",1987,"H2",0.320667846382859,NA,106,0.857435263559759,0.915390333776548,0.929713036297218,0.938562296378523
"Alt2a",1987,"M2",0.27491071942138,NA,107,0.8549023880989,0.912327672927104,0.926449857409902,0.935156321390107
