"year","Alt1","Alt1a","Alt1b","Alt2","Alt2a","Alt2b","NoAct"
1966,"","","0.852710087073832",0.846251291812073,"","",""
1968,"0.820106370458194","0.865269805997282","",0.818311941987953,"0.846442623653863","0.875310039713237",""
1975,"0.913499684096468","0.900215285838444","0.905539304830576",0.909474959312909,"0.916673440476296","0.933225635450424","0.891119695920422"
1980,"0.828733204308714","","0.817530051601909",0.823265046950687,"0.852117769299885","0.877789152093889",""
1983,"0.869918681157669","","0.900458877736193",0.842660715653454,"0.88652716496164","0.88768478377264",""
1984,"0.853990128117853","","",0.856791639441077,"0.890497426076827","",""
1985,"0.83064112682482","0.805929872201534","0.902002490738509",0.826055526838611,"0.83726112944087","0.857796445009773",""
1986,"","","",0.906954093675431,"","",""
1987,"","","",0.905737558179945,"","0.941533575620011",""
1998,"0.827421994728072","","0.849638140765559",0.825703594505284,"0.866286271990921","0.912173133369042",""
2011,"0.844869053062054","0.850540667635747","0.854742647127859",0.854264122934418,"0.857348754130988","0.854736851487257","0.821712299514107"
2012,"0.871079339346098","","",0.860221291723277,"0.853126544961533","",""
