year,Alt1,Alt1a,Alt1b,Alt2,Alt2a,Alt2b,NoAct
1947,,,,,,0.0048,
1949,,,,,,0.0039,
1966,,,0.0053,0.0023,0.0030,0.0039,
1968,0.0030,0.0012,,0.0025,0.0032,,
1975,0.0065,0.0073,0.0015,0.0061,0.0041,0.0028,0.0080
1980,0.0014,,0.0049,0.0044,0.0079,0.0096,
1983,0.0057,,0.0059,0.0041,0.0068,0.0070,
1984,0.0039,,,0.0045,0.0054,,
1985,0.0028,0.0030,0.0059,0.0036,0.0014,0.0030,
1986,,,,0.0083,,,
1987,,,,0.0023,0.0033,0.0013,
1998,0.0056,,0.0123,0.0060,0.0044,0.0092,
2011,0.0132,0.0370,0.0132,0.0133,0.0127,0.0122,0.0147
2012,0.0063,,,0.0060,0.0062,,
