year,Alt1,Alt1a,Alt1b,Alt2,Alt2a,Alt2b,NoAct
1947,,,,,,-0.032011834,
1949,,,,,,-0.005364715,
1966,,,-0.002764362,-0.003711656,-0.0031,-0.003810803,
1968,-0.002820604,0.000101509,,-0.002436278,-0.0022,,
1975,-0.008129342,-0.007205133,-0.024784665,-0.007525554,-0.0052,-0.005609156,-0.009814165
1980,-0.010846742,,-0.005704917,-0.005304959,-0.0066,-0.010039466,
1983,-0.005971113,,-0.0300037,-0.004690801,,-0.002104326,
1984,-0.00398865,,,-0.004560648,-0.0055,,
1985,-0.003248675,-0.002683693,-0.006966987,-0.003949232,-0.0055,-0.003234163,
1986,,,,-0.008544491,,,
1987,,,,-0.002302815,-0.0036,-0.001416335,
1998,-0.00596292,,-0.004032407,-0.006943728,-0.0047,-0.005735836,
2011,-0.015518467,-0.011585078,-0.015738565,-0.016121238,-0.0159,-4.03E-06,-0.017938399
2012,-0.005268806,,,-0.005313675,-0.0058,,
