year,Alt1,Alt1a,Alt1b,Alt2,Alt2a,Alt2b,NoAct
1947,,,,,,0.874018808,
1949,,,,,,0.945581928,
1966,,,0.847404294,0.843902207,0.8653,0.879120843,
1968,0.817128954,0.864074568,,0.815810992,0.8433,,
1975,0.907010248,0.892928961,0.904056098,0.903363836,0.9126,0.928679737,0.883074817
1980,0.827314664,,0.812624342,0.818880294,0.8442,0.868194184,
1983,0.864217554,,0.894516386,0.838608144,0.8797,0.889112315,
1984,0.850052081,,,0.852309116,0.8851,,
1985,0.82784528,0.802972416,0.896055023,0.822446485,0.8359,0.854825702,
1986,,,,0.898638773,,,
1987,,,,0.903463485,0.9264,0.94023601,
1998,0.821826884,,0.83733219,0.819694434,0.8618,0.914158515,
2011,0.831698235,0.813529816,0.841576066,0.840999558,0.8446,0.842496926,0.807059943
2012,0.864823339,,,0.854204021,0.8469,,
