"Alt","Year","Hatch_Date","Retention","Develop_Mod","Drift_Mod","anoxic_layer","Long_Term_Growth_Rate"
"1",1930,1930-06-17,0.00973243218602539,"New",0.9,TRUE,0.910599216630185
"1",1930,1930-06-24,0.0512630376237801,"New",0.9,TRUE,0.930615884242368
"1",1966,1966-06-21,0.430636555569073,"New",0.9,TRUE,0.961817096590356
"1",1966,1966-06-25,0.999424973783665,"New",0.9,TRUE,0.97738753521674
"1",1966,1966-07-02,0.999999992227938,"New",0.9,TRUE,0.977399087973395
"1",1975,1975-07-02,0.943576982593509,"New",0.9,TRUE,0.976239533043785
"1",1975,1975-07-09,0.240964383462301,"New",0.9,TRUE,0.952372452092926
"1",1975,1975-07-07,0.201698481377453,"New",0.9,TRUE,0.949646806011011
"1",1975,1975-07-16,0.486429927596694,"New",0.9,TRUE,0.9639194932002
"1",1976,1976-06-21,0.446280337429313,"New",0.9,TRUE,0.962428157320016
"1",1980,1980-06-21,0.456511627435505,"New",0.9,TRUE,0.962818334763997
"1",1980,1980-06-18,0.453242620922754,"New",0.9,TRUE,0.962694457226322
"1",1980,1980-06-25,0.999999939127057,"New",0.9,TRUE,0.977399086906786
"1",1983,1983-06-21,0.257249644028165,"New",0.9,TRUE,0.953392897339225
"1",1983,1983-06-18,0.0686982201680047,"New",0.9,TRUE,0.934439751855107
"1",1983,1983-06-23,0.814863495071366,"New",0.9,TRUE,0.973372346496578
"1",1983,1983-06-25,0.994376286245347,"New",0.9,TRUE,0.977285874969712
"1",1985,1985-06-21,0.0089474233244655,"New",0.9,TRUE,0.909645352028484
"1",1985,1985-06-18,0.0109942824073907,"New",0.9,TRUE,0.911990376864171
"1",1985,1985-06-25,0.365450686806955,"New",0.9,TRUE,0.959054727895679
"1",1986,1986-06-14,0.999999980167405,"New",0.9,TRUE,0.977399087731148
"1",1986,1986-06-10,0.475754406088067,"New",0.9,TRUE,0.963533115817319
"1",1986,1986-06-17,0.999999999469728,"New",0.9,TRUE,0.977399088118854
"1",1987,1987-06-21,0.96713038889775,"New",0.9,TRUE,0.976730087646777
"1",1987,1987-06-10,0.521597747240784,"New",0.9,TRUE,0.965145089125934
"1",1987,1987-06-15,0.652530234012055,"New",0.9,TRUE,0.969186653739997
"1",1987,1987-06-17,0.798171635883525,"New",0.9,TRUE,0.972974551235226
"1",1987,1987-06-18,0.79083025845612,"New",0.9,TRUE,0.972797486513376
"1",1987,1987-06-25,0.999600505634874,"New",0.9,TRUE,0.977391062403497
"1",1997,1997-07-02,0.926427654287303,"New",0.9,TRUE,0.975876211293553
"1",2000,2000-06-14,1.19302762530851e-05,"New",0.9,TRUE,0.843348353006848
"1",2000,2000-06-21,0.651135058050613,"New",0.9,TRUE,0.969147207884755
"1",2011,2011-06-25,1.78180862317144e-05,"New",0.9,TRUE,0.847044289061141
"1",2011,2011-07-02,0.000539235234920773,"New",0.9,TRUE,0.879843581294369
"1",2011,2011-07-09,0.000930778646993506,"New",0.9,TRUE,0.885382045800002
"1",2011,2011-07-16,0.010557290239966,"New",0.9,TRUE,0.911526427483744
"1",2012,2012-06-21,0.0339094972163372,"New",0.9,TRUE,0.925393290891205
"1a",1975,1975-07-02,0.889223095834636,"New",0.9,TRUE,0.975069258449874
"1a",1975,1975-07-07,0.200579925576188,"New",0.9,TRUE,0.949562724782728
