"Alt","Year","Hatch_Date","Retention","Develop_Mod","Drift_Mod","anoxic_layer","Long_Term_Growth_Rate"
"1",1930,1930-06-17,0.0186670505005156,"New",0.9,TRUE,0.918156705985005
"1",1930,1930-06-17,0.0103677483180076,"New",1,TRUE,0.911319555314957
"1",1930,1930-06-17,0.0164694908059803,"Old",0.9,TRUE,0.91667823977406
"1",1930,1930-06-17,0.00885595460445373,"Old",1,TRUE,0.909529121364678
"1",1930,1930-06-17,0.0173682114894356,"New",0.9,FALSE,0.917303856128231
"1",1930,1930-06-17,0.00962934566449349,"New",1,FALSE,0.910478179813465
"1",1930,1930-06-17,0.0157580523316868,"Old",0.9,FALSE,0.916160001110883
"1",1930,1930-06-17,0.00844890303637568,"Old",1,FALSE,0.908997749170436
"1",1930,1930-06-21,0.0384489824184788,"New",0.9,TRUE,0.926960864164415
"1",1930,1930-06-21,0.0169215615363567,"New",1,TRUE,0.91699680504062
"1",1930,1930-06-21,0.0255574999718809,"Old",0.9,TRUE,0.921924024948746
"1",1930,1930-06-21,0.0120389625489577,"Old",1,TRUE,0.913032883868493
"1",1930,1930-06-21,0.0378296115035161,"New",0.9,FALSE,0.926757286851776
"1",1930,1930-06-21,0.0164292417508034,"New",1,FALSE,0.916649483223544
"1",1930,1930-06-21,0.0252880686967873,"Old",0.9,FALSE,0.921795496449171
"1",1930,1930-06-21,0.0119739981026209,"Old",1,FALSE,0.912970578645104
"1",1930,1930-06-24,0.0742764727812074,"New",0.9,TRUE,0.935478810796126
"1",1930,1930-06-24,0.0276914778161074,"New",1,TRUE,0.922900001024634
"1",1930,1930-06-24,0.0376971153900072,"Old",0.9,TRUE,0.926713342451181
"1",1930,1930-06-24,0.0167401430774064,"Old",1,TRUE,0.916869927144919
"1",1930,1930-06-24,0.0614998962973406,"New",0.9,FALSE,0.932980873267528
"1",1930,1930-06-24,0.0230649367021768,"New",1,FALSE,0.920683881486201
"1",1930,1930-06-24,0.0338846364086853,"Old",0.9,FALSE,0.925384188880628
"1",1930,1930-06-24,0.0153312330688883,"Old",1,FALSE,0.915838511396868
"1",1966,1966-06-21,0.0286376800601651,"New",0.9,TRUE,0.923310730474722
"1",1966,1966-06-21,0.0130971658694472,"New",1,TRUE,0.914005719169966
"1",1966,1966-06-21,0.0184202127432707,"Old",0.9,TRUE,0.917998967009103
"1",1966,1966-06-21,0.00844474457451644,"Old",1,TRUE,0.908992197022621
"1",1966,1966-06-21,0.0282458062886487,"New",0.9,FALSE,0.923142163793992
"1",1966,1966-06-21,0.0126959587863427,"New",1,FALSE,0.913645856549775
"1",1966,1966-06-21,0.0181729453661195,"Old",0.9,FALSE,0.917838970008312
"1",1966,1966-06-21,0.00828627660378733,"Old",1,FALSE,0.908778673442275
"1",1966,1966-06-25,0.417290265426929,"New",0.9,TRUE,0.961281144445872
"1",1966,1966-06-25,0.107404376886719,"New",1,TRUE,0.940509063332661
"1",1966,1966-06-25,0.121482403852863,"Old",0.9,TRUE,0.942237461976116
"1",1966,1966-06-25,0.0276410568799794,"Old",1,TRUE,0.922877753226966
"1",1966,1966-06-25,0.3640181454114,"New",0.9,FALSE,0.958989571591227
"1",1966,1966-06-25,0.0691821805180833,"New",1,FALSE,0.934532836109157
"1",1966,1966-06-25,0.0967233483661919,"Old",0.9,FALSE,0.939058983789915
"1",1966,1966-06-25,0.0219557748618178,"Old",1,FALSE,0.920091670732887
"1",1966,1966-07-02,0.927725674518111,"New",0.9,TRUE,0.975903896726221
"1",1966,1966-07-02,0.604759116207912,"New",1,TRUE,0.96779542923721
"1",1966,1966-07-02,0.417829718480108,"Old",0.9,TRUE,0.961303079800878
"1",1966,1966-07-02,0.107685439608563,"Old",1,TRUE,0.940545472018115
"1",1966,1966-07-02,0.92574733310835,"New",0.9,FALSE,0.975861688442939
"1",1966,1966-07-02,0.572916371814193,"New",1,FALSE,0.966817823443236
"1",1966,1966-07-02,0.388476822812749,"Old",0.9,FALSE,0.960073975092424
"1",1966,1966-07-02,0.0892186577741959,"Old",1,FALSE,0.937952796366856
"1",1975,1975-07-02,0.46244323322371,"New",0.9,TRUE,0.963041261557573
"1",1975,1975-07-02,0.162775610653855,"New",1,TRUE,0.946452198264252
"1",1975,1975-07-02,0.0812687338843379,"Old",0.9,TRUE,0.936686934420474
"1",1975,1975-07-02,0.0126139393138523,"Old",1,TRUE,0.913570979369813
"1",1975,1975-07-02,0.449060130999937,"New",0.9,FALSE,0.962534888325732
"1",1975,1975-07-02,0.14443077074981,"New",1,FALSE,0.944710570191481
"1",1975,1975-07-02,0.0726435865816602,"Old",0.9,FALSE,0.935182091533965
"1",1975,1975-07-02,0.00929531443130623,"Old",1,FALSE,0.910077424989602
"1",1975,1975-07-09,0.121037278152488,"New",0.9,TRUE,0.942185574223467
"1",1975,1975-07-09,0.0331969753520629,"New",1,TRUE,0.925129965429877
"1",1975,1975-07-09,0.0210487901816263,"Old",0.9,TRUE,0.919586436173933
"1",1975,1975-07-09,0.0047092336031369,"Old",1,TRUE,0.902508155129059
"1",1975,1975-07-09,0.100037705678176,"New",0.9,FALSE,0.939523480640506
"1",1975,1975-07-09,0.0244450135444672,"New",1,FALSE,0.921384996116857
"1",1975,1975-07-09,0.0173152862057426,"Old",0.9,FALSE,0.917267859100997
"1",1975,1975-07-09,0.00367852539867287,"Old",1,FALSE,0.899822325304182
"1",1975,1975-07-16,0.331299945208968,"New",0.9,TRUE,0.957439963941468
"1",1975,1975-07-16,0.157546174192217,"New",1,TRUE,0.945973832763145
"1",1975,1975-07-16,0.132062050062635,"Old",0.9,TRUE,0.943424193640562
"1",1975,1975-07-16,0.0507588739260029,"Old",1,TRUE,0.930488683772134
"1",1975,1975-07-16,0.323588001933052,"New",0.9,FALSE,0.957056190498543
"1",1975,1975-07-16,0.150492253969775,"New",1,FALSE,0.945306278306733
"1",1975,1975-07-16,0.128195054471104,"Old",0.9,FALSE,0.943000409703098
"1",1975,1975-07-16,0.0480900218104034,"Old",1,FALSE,0.929795639260743
"1",1976,1976-07-15,0.988196940299282,"New",0.9,TRUE,0.977160890222488
"1",1976,1976-07-15,0.867202660746474,"New",1,TRUE,0.974578913335109
"1",1976,1976-07-15,0.587139360679372,"Old",0.9,TRUE,0.967259791887501
"1",1976,1976-07-15,0.275782435634511,"Old",1,TRUE,0.954489684628453
"1",1976,1976-07-15,0.98814676285073,"New",0.9,FALSE,0.977159872793343
"1",1976,1976-07-15,0.865483188063964,"New",1,FALSE,0.974540209095634
"1",1976,1976-07-15,0.58043156257372,"Old",0.9,FALSE,0.967052447548444
"1",1976,1976-07-15,0.267743238052452,"Old",1,FALSE,0.954021809933908
