"Year","NoAct","1","1a","1b","2","2a","2b"
1930,0,0,0,0.896398168034151,0,0,0.899242981168004
1931,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0
1949,0,0,0,0.923671424855995,0,0,0.951103547389993
1950,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0.966908910678493
1967,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0
1975,0.931000884847783,0.931826558226586,0.931724351731878,0.930891759444874,0.930921137103826,0.932201917431585,0.931041293742659
1976,0.94650654428629,0.946522991304016,0,0.946478231307554,0.942774113952698,0,0.94649318912146
1977,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0
1980,0,0.946253407029228,0,0.964757291544331,0.948151517333939,0,0.956104605809286
1981,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0
1983,0,0.933445160226721,0,0.966709303202705,0.925439170196521,0,0.965022229998711
1984,0,0,0,0,0,0,0
1985,0,0.866989732411836,0,0.956412437805843,0.887721457488964,0,0.888764769185633
1986,0,0,0,0,0.966908910766621,0,0
1987,0,0.961028121633012,0.966892753655393,0.95961722567668,0.960529093623004,0.966386633829804,0.959387934482858
1988,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0.942701892800666,0,0,0
1995,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0
1997,0.964913913158685,0.964915650776523,0.964917384940947,0.966602067970891,0.965120599911763,0.966602067970891,0.964915602307325
1998,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0
2000,0,0.95563430047006,0,0.966804000010119,0,0,0.860674387284614
2001,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0.818465088951355,0.818506655438815,0.81804790963185,0.817191811944381,0.817201893609118,0.818465088951355,0.817734562173979
2012,0,0.89376244818331,0,0,0,0,0
