"Year","NoAct","1","1a","1b","2","2a","2b"
1930,0,0,0,0.926908888092904,0,0,0.928831214826086
1931,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0
1949,0,0,0,0.945645301554866,0,0,0.965440290220348
1950,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0.977399088061381
1967,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0
1975,0.950824882104544,0.951413003413995,0.95134014968795,0.950747225383546,0.950768129696656,0.951680691456897,0.950853642498149
1976,0.962041149804107,0.962053248711976,0,0.96202032298951,0.95930687604346,0,0.962031325680934
1977,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0
1980,0,0.961854990691847,0,0.975746343857222,0.963253449070428,0,0.969178496648377
1981,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0
1983,0,0.952568765664896,0,0.977245438334663,0.946887965676889,0,0.97594943765538
1984,0,0,0,0,0,0,0
1985,0,0.907309232236859,0,0.969409980163998,0.921080223170107,0,0.921778581357191
1986,0,0,0,0,0.977399088129228,0,0
1987,0,0.972900175624767,0.977386648591696,0.971829476263382,0.972521088294307,0.976997199970047,0.971655790733139
1988,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0.959254191001715,0,0,0
1995,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0
1997,0.975866391081066,0.975867723158934,0.975869052594399,0.977162920218241,0.976024874881499,0.977162920218241,0.975867686001817
1998,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0
2000,0,0.96882514709867,0,0.977318323878459,0,0,0.903143315206791
2001,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0.875404876043208,0.875432206383178,0.875130567509319,0.874567601848965,0.874574231936975,0.875404876043208,0.874924520345801
2012,0,0.925133093559227,0,0,0,0,0
