"Year","Flow_Scenario","Standard","Weather_Pattern","Hatch_Date","Retention","Develop_Mod","Drift_Mod","anoxic_layer","Long_Term_Growth_Rate"
1930,"1b",1930-06-17,"Median",1930-06-24,0.0382899742513695,"New",0.9,FALSE,0.896398168034151
1930,"2b",1930-06-17,"Median",1930-06-24,0.0445878006603342,"New",0.9,FALSE,0.899242981168004
1949,"1b",1949-06-17,"High",1949-06-24,0.154039612198563,"New",0.9,FALSE,0.923671424855995
1949,"2b",1949-06-16,"High",1949-06-23,0.530371230727595,"New",0.9,FALSE,0.951103547389993
1966,"2b",1966-06-25,"Low",1966-07-02,0.999999996608076,"New",0.9,FALSE,0.966908910678493
1975,"1",1975-07-02,"Median",1975-07-09,0.22645953384813,"New",0.9,FALSE,0.931826558226586
1975,"1a",1975-07-02,"Median",1975-07-09,0.225389180200802,"New",0.9,FALSE,0.931724351731878
1975,"1b",1975-07-02,"Median",1975-07-09,0.216837268965446,"New",0.9,FALSE,0.930891759444874
1975,"2",1975-07-02,"Median",1975-07-09,0.217133998718064,"New",0.9,FALSE,0.930921137103826
1975,"2a",1975-07-02,"Median",1975-07-09,0.230429616820162,"New",0.9,FALSE,0.932201917431585
1975,"2b",1975-07-02,"Median",1975-07-09,0.218351435994605,"New",0.9,FALSE,0.931041293742659
1975,"NoAct",1975-07-02,"Median",1975-07-09,0.217941328611492,"New",0.9,FALSE,0.931000884847783
1976,"1",1976-06-14,"Median",1976-06-21,0.436627852527964,"New",0.9,FALSE,0.946522991304016
1976,"1b",1976-06-14,"Median",1976-06-21,0.43578841548753,"New",0.9,FALSE,0.946478231307554
1976,"2",1976-06-14,"Median",1976-06-21,0.371038700266898,"New",0.9,FALSE,0.942774113952698
1976,"2b",1976-06-14,"Median",1976-06-21,0.436068779697282,"New",0.9,FALSE,0.94649318912146
1976,"NoAct",1976-06-14,"Median",1976-06-21,0.436319237823661,"New",0.9,FALSE,0.94650654428629
1980,"1",1980-06-14,"Median",1980-06-21,0.431593358845001,"New",0.9,FALSE,0.946253407029228
1980,"1b",1980-06-19,"Median",1980-06-26,0.920358103673556,"New",0.9,FALSE,0.964757291544331
1980,"2",1980-06-14,"Median",1980-06-21,0.468147722981561,"New",0.9,FALSE,0.948151517333939
1980,"2b",1980-06-18,"Median",1980-06-25,0.652241525018748,"New",0.9,FALSE,0.956104605809286
1983,"1",1983-06-14,"Median",1983-06-21,0.244027511858602,"New",0.9,FALSE,0.933445160226721
1983,"1b",1983-06-21,"Median",1983-06-28,0.992373728835815,"New",0.9,FALSE,0.966709303202705
1983,"2",1983-06-14,"Median",1983-06-21,0.167669452411318,"New",0.9,FALSE,0.925439170196521
1983,"2b",1983-06-18,"Median",1983-06-25,0.929863982657662,"New",0.9,FALSE,0.965022229998711
1985,"1",1985-06-14,"Median",1985-06-21,0.00726951169055249,"New",0.9,FALSE,0.866989732411836
1985,"1b",1985-06-21,"Median",1985-06-28,0.660474698674446,"New",0.9,FALSE,0.956412437805843
1985,"2",1985-06-14,"Median",1985-06-21,0.0238359761049204,"New",0.9,FALSE,0.887721457488964
1985,"2b",1985-06-18,"Median",1985-06-25,0.0252528059250227,"New",0.9,FALSE,0.888764769185633
1986,"2",1986-06-09,"High",1986-06-16,0.99999999998605,"New",0.9,FALSE,0.966908910766621
1987,"1",1987-06-10,"High",1987-06-17,0.795081303223583,"New",0.9,FALSE,0.961028121633012
1987,"1a",1987-06-07,"High",1987-06-14,0.999380854373202,"New",0.9,FALSE,0.966892753655393
1987,"1b",1987-06-18,"High",1987-06-25,0.751643768866815,"New",0.9,FALSE,0.95961722567668
1987,"2",1987-06-10,"High",1987-06-17,0.779478352855495,"New",0.9,FALSE,0.960529093623004
1987,"2a",1987-06-07,"High",1987-06-14,0.98014999305741,"New",0.9,FALSE,0.966386633829804
