"Year","NoAct","1","1a","1b","2","2a","2b"
1930,0,0,0,0.951525059860495,0,0,0.94318151619511
1931,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0
1949,0,0,0,0.977381828550458,0,0,0.977398766546942
1950,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0.977383469408509
1967,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0
1975,0.956803033972685,0.957056190498543,0.957820097213843,0.957451580986501,0.968802960629117,0.958115509982398,0.956830403654147
1976,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0
1980,0,0.927576737819126,0,0.933826330033036,0.97137090720101,0,0.931053859906784
1981,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0
1983,0,0.957654773818032,0,0.972672833113413,0.977340672375248,0,0.970612750540973
1984,0,0,0,0,0,0,0
1985,0,0.903790967961297,0,0.956400445369561,0.976308436684984,0,0.9122399257401
1986,0,0,0,0,0.977399088129517,0,0
1987,0,0.973247435312508,0,0.966673778973487,0.972636820321846,0.976721211670905,0.967613879639336
1988,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0.936020269585587,0,0,0
1995,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0
1997,0.975207293892834,0.97730575348802,0.975585001908328,0.976217394884248,0.975181279067799,0.97667254518898,0.975582639397452
1998,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0
2000,0,0.970392337529464,0,0.968604965925828,0,0,0.970381982792553
2001,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0.90335473824514,0.914766805952357,0.905325646070733,0.902618028443875,0.914174180491581,0.905525468860649,0.905111593913124
2012,0,0.94257121771125,0,0,0,0,0
