"Year","Hatch_Date","Develop_Mod","Drift_Mod","anoxic_layer","NA","1","1a","1b","2","2a","2b"
1930,1930-06-17,"New",0.9,FALSE,0,0.871292788534355,0,0.866215477431785,0,0,0.870935298447709
1930,1930-06-17,"New",0.9,TRUE,0,0.871965621447679,0,0.866111597306072,0,0,0.87045122833286
1930,1930-06-17,"New",1,FALSE,0,0.864084945210546,0,0.856611741230477,0,0,0.860460345758047
1930,1930-06-17,"New",1,TRUE,0,0.86405500583925,0,0.85668046038873,0,0,0.860107706341536
1930,1930-06-17,"Old",0.9,FALSE,0,0.873415441977389,0,0.860695643339494,0,0,0.864873874044843
1930,1930-06-17,"Old",0.9,TRUE,0,0.873895032807345,0,0.860683451398587,0,0,0.864622457277976
1930,1930-06-17,"Old",1,FALSE,0,0.86473532502554,0,0.851458981074601,0,0,0.85478183440973
1930,1930-06-17,"Old",1,TRUE,0,0.86480605722041,0,0.851327100631426,0,0,0.854464162695337
1930,1930-06-21,"New",0.9,FALSE,0,0,0,0.889205743417476,0,0,0.894262761747771
1930,1930-06-21,"New",0.9,TRUE,0,0,0,0.890630502729684,0,0,0.895475364180814
1930,1930-06-21,"New",1,FALSE,0,0,0,0.875479753609061,0,0,0.879497755043123
1930,1930-06-21,"New",1,TRUE,0,0,0,0.877567036428206,0,0,0.881473903379926
1930,1930-06-21,"Old",0.9,FALSE,0,0,0,0.879301222582364,0,0,0.883192772007466
1930,1930-06-21,"Old",0.9,TRUE,0,0,0,0.880447134588352,0,0,0.884181987690312
1930,1930-06-21,"Old",1,FALSE,0,0,0,0.868115804915689,0,0,0.871086964514015
1930,1930-06-21,"Old",1,TRUE,0,0,0,0.869694116618425,0,0,0.872608682154102
1930,1930-06-24,"New",0.9,FALSE,0,0.901741286578741,0,0.884003074048605,0,0,0.888792485215043
1930,1930-06-24,"New",0.9,TRUE,0,0.901875790427123,0,0.88712728477151,0,0,0.892695450036382
1930,1930-06-24,"New",1,FALSE,0,0.88485104622204,0,0.875015227433139,0,0,0.879275381027209
1930,1930-06-24,"New",1,TRUE,0,0.885055675307708,0,0.87750220492562,0,0,0.882338996057399
1930,1930-06-24,"Old",0.9,FALSE,0,0.89165324408633,0,0.882993348183058,0,0,0.886809375614096
1930,1930-06-24,"Old",0.9,TRUE,0,0.891649292756774,0,0.884698792478778,0,0,0.888955943186883
1930,1930-06-24,"Old",1,FALSE,0,0.878859971220484,0,0.873994250630001,0,0,0.877694954592463
1930,1930-06-24,"Old",1,TRUE,0,0.878795870696666,0,0.875440532603134,0,0,0.879450915825337
1930,NA,NA,NA,NA,0,0,0,0,0,0,0
1931,NA,NA,NA,NA,0,0,0,0,0,0,0
1932,NA,NA,NA,NA,0,0,0,0,0,0,0
1933,NA,NA,NA,NA,0,0,0,0,0,0,0
1934,NA,NA,NA,NA,0,0,0,0,0,0,0
1935,NA,NA,NA,NA,0,0,0,0,0,0,0
1936,NA,NA,NA,NA,0,0,0,0,0,0,0
1937,NA,NA,NA,NA,0,0,0,0,0,0,0
1938,NA,NA,NA,NA,0,0,0,0,0,0,0
1939,NA,NA,NA,NA,0,0,0,0,0,0,0
1940,NA,NA,NA,NA,0,0,0,0,0,0,0
1941,NA,NA,NA,NA,0,0,0,0,0,0,0
1942,NA,NA,NA,NA,0,0,0,0,0,0,0
1943,NA,NA,NA,NA,0,0,0,0,0,0,0
1944,NA,NA,NA,NA,0,0,0,0,0,0,0
1945,NA,NA,NA,NA,0,0,0,0,0,0,0
1946,NA,NA,NA,NA,0,0,0,0,0,0,0
1947,NA,NA,NA,NA,0,0,0,0,0,0,0
1948,NA,NA,NA,NA,0,0,0,0,0,0,0
1949,1949-06-16,"New",0.9,FALSE,0,0,0,0,0,0,0.845883510094821
1949,1949-06-16,"New",0.9,TRUE,0,0,0,0,0,0,0.844994963479254
1949,1949-06-16,"New",1,FALSE,0,0,0,0,0,0,0.834117800848059
1949,1949-06-16,"New",1,TRUE,0,0,0,0,0,0,0.833639035395457
1949,1949-06-16,"Old",0.9,FALSE,0,0,0,0,0,0,0.840381983023236
1949,1949-06-16,"Old",0.9,TRUE,0,0,0,0,0,0,0.84009255457011
1949,1949-06-16,"Old",1,FALSE,0,0,0,0,0,0,0.829300986476133
1949,1949-06-16,"Old",1,TRUE,0,0,0,0,0,0,0.829086177681364
1949,1949-06-17,"New",0.9,FALSE,0,0,0,0.855848170747801,0,0,0
1949,1949-06-17,"New",0.9,TRUE,0,0,0,0.85753962907149,0,0,0
1949,1949-06-17,"New",1,FALSE,0,0,0,0.841279922121582,0,0,0
1949,1949-06-17,"New",1,TRUE,0,0,0,0.842773618086159,0,0,0
1949,1949-06-17,"Old",0.9,FALSE,0,0,0,0.847082888096403,0,0,0
1949,1949-06-17,"Old",0.9,TRUE,0,0,0,0.848129764999699,0,0,0
1949,1949-06-17,"Old",1,FALSE,0,0,0,0.834791513296998,0,0,0
1949,1949-06-17,"Old",1,TRUE,0,0,0,0.835334413812696,0,0,0
1949,1949-06-21,"New",0.9,FALSE,0,0,0,0.951914788492601,0,0,0.944114919455033
1949,1949-06-21,"New",0.9,TRUE,0,0,0,0.952479720056416,0,0,0.945225613781162
1949,1949-06-21,"New",1,FALSE,0,0,0,0.921328178633724,0,0,0.913106682090467
1949,1949-06-21,"New",1,TRUE,0,0,0,0.924727602887421,0,0,0.916954101128104
1949,1949-06-21,"Old",0.9,FALSE,0,0,0,0.928864865947214,0,0,0.92305732056245
1949,1949-06-21,"Old",0.9,TRUE,0,0,0,0.930553130297786,0,0,0.924820863455174
1949,1949-06-21,"Old",1,FALSE,0,0,0,0.889767434133269,0,0,0.888727888280888
1949,1949-06-21,"Old",1,TRUE,0,0,0,0.893402473634176,0,0,0.892079354602749
1949,1949-06-23,"New",0.9,FALSE,0,0,0,0,0,0,0.951103547389993
1949,1949-06-23,"New",0.9,TRUE,0,0,0,0,0,0,0.951996808107259
1949,1949-06-23,"New",1,FALSE,0,0,0,0,0,0,0.915414907713883
1949,1949-06-23,"New",1,TRUE,0,0,0,0,0,0,0.919653747040732
1949,1949-06-23,"Old",0.9,FALSE,0,0,0,0,0,0,0.930778721922752
1949,1949-06-23,"Old",0.9,TRUE,0,0,0,0,0,0,0.932191545110536
1949,1949-06-23,"Old",1,FALSE,0,0,0,0,0,0,0.895695057861125
1949,1949-06-23,"Old",1,TRUE,0,0,0,0,0,0,0.898172653559834
1949,1949-06-24,"New",0.9,FALSE,0,0,0,0.923671424855995,0,0,0
1949,1949-06-24,"New",0.9,TRUE,0,0,0,0.92455021027141,0,0,0
1949,1949-06-24,"New",1,FALSE,0,0,0,0.891331340424107,0,0,0
1949,1949-06-24,"New",1,TRUE,0,0,0,0.892470083196862,0,0,0
1949,1949-06-24,"Old",0.9,FALSE,0,0,0,0.910868302985274,0,0,0
1949,1949-06-24,"Old",0.9,TRUE,0,0,0,0.911736618636366,0,0,0
1949,1949-06-24,"Old",1,FALSE,0,0,0,0.883957541123061,0,0,0
1949,1949-06-24,"Old",1,TRUE,0,0,0,0.884475723990359,0,0,0
1949,NA,NA,NA,NA,0,0,0,0,0,0,0
1950,NA,NA,NA,NA,0,0,0,0,0,0,0
1951,NA,NA,NA,NA,0,0,0,0,0,0,0
1952,NA,NA,NA,NA,0,0,0,0,0,0,0
1953,1953-06-07,"New",0.9,FALSE,0,0,0,0,0.758237920513013,0,0
1953,1953-06-07,"New",0.9,TRUE,0,0,0,0,0.758597989924216,0,0
1953,1953-06-07,"New",1,FALSE,0,0,0,0,0.743247652376739,0,0
1953,1953-06-07,"New",1,TRUE,0,0,0,0,0.744308842523608,0,0
1953,1953-06-07,"Old",0.9,FALSE,0,0,0,0,0.765566390927926,0,0
1953,1953-06-07,"Old",0.9,TRUE,0,0,0,0,0.765942214236705,0,0
1953,1953-06-07,"Old",1,FALSE,0,0,0,0,0.749434015787346,0,0
1953,1953-06-07,"Old",1,TRUE,0,0,0,0,0.749842786978456,0,0
1953,1953-06-14,"New",0.9,FALSE,0,0,0,0,0.877920806494746,0,0
1953,1953-06-14,"New",0.9,TRUE,0,0,0,0,0.876801898750929,0,0
1953,1953-06-14,"New",1,FALSE,0,0,0,0,0.844978541513755,0,0
1953,1953-06-14,"New",1,TRUE,0,0,0,0,0.8425598564474,0,0
1953,1953-06-14,"Old",0.9,FALSE,0,0,0,0,0.867207541475085,0,0
1953,1953-06-14,"Old",0.9,TRUE,0,0,0,0,0.866859583240338,0,0
1953,1953-06-14,"Old",1,FALSE,0,0,0,0,0.829682140791378,0,0
1953,1953-06-14,"Old",1,TRUE,0,0,0,0,0.827921496101038,0,0
1953,1953-06-17,"New",0.9,FALSE,0,0,0,0,0.922547264990212,0,0
1953,1953-06-17,"New",0.9,TRUE,0,0,0,0,0.92486593066774,0,0
1953,1953-06-17,"New",1,FALSE,0,0,0,0,0.888531735905856,0,0
1953,1953-06-17,"New",1,TRUE,0,0,0,0,0.892611984349046,0,0
1953,1953-06-17,"Old",0.9,FALSE,0,0,0,0,0.899502902784474,0,0
1953,1953-06-17,"Old",0.9,TRUE,0,0,0,0,0.901512365384666,0,0
1953,1953-06-17,"Old",1,FALSE,0,0,0,0,0.858466262695736,0,0
1953,1953-06-17,"Old",1,TRUE,0,0,0,0,0.861820641200072,0,0
1953,NA,NA,NA,NA,0,0,0,0,0,0,0
1954,NA,NA,NA,NA,0,0,0,0,0,0,0
1955,NA,NA,NA,NA,0,0,0,0,0,0,0
1956,NA,NA,NA,NA,0,0,0,0,0,0,0
1957,NA,NA,NA,NA,0,0,0,0,0,0,0
1958,NA,NA,NA,NA,0,0,0,0,0,0,0
1959,NA,NA,NA,NA,0,0,0,0,0,0,0
1960,NA,NA,NA,NA,0,0,0,0,0,0,0
1961,NA,NA,NA,NA,0,0,0,0,0,0,0
1962,NA,NA,NA,NA,0,0,0,0,0,0,0
1963,NA,NA,NA,NA,0,0,0,0,0,0,0
1964,NA,NA,NA,NA,0,0,0,0,0,0,0
1965,NA,NA,NA,NA,0,0,0,0,0,0,0
1966,1966-06-21,"New",0.9,FALSE,0,0.945306735044835,0,0.882744308299702,0,0,0.88612156904108
1966,1966-06-21,"New",0.9,TRUE,0,0.946201861483263,0,0.885796054908341,0,0,0.8879506405869
1966,1966-06-21,"New",1,FALSE,0,0.918134716714989,0,0.864843892760207,0,0,0.869562291003679
1966,1966-06-21,"New",1,TRUE,0,0.921489772187196,0,0.867920194869849,0,0,0.871620534049522
1966,1966-06-21,"Old",0.9,FALSE,0,0.913451875431448,0,0.862515012119235,0,0,0.867077583510506
1966,1966-06-21,"Old",0.9,TRUE,0,0.915289589464786,0,0.864287855170983,0,0,0.868249718706405
