"Year","Hatch_Date","Develop_Mod","Drift_Mod","anoxic_layer","NoAct","1","1a","1b","2","2a","2b"
1930,1930-06-17,"New",0.9,FALSE,0,0.910153894155791,0,0,0,0,0
1930,1930-06-17,"New",0.9,TRUE,0,0.910599216630185,0,0,0,0,0
1930,1930-06-17,"New",1,FALSE,0,0.905391893862623,0,0,0,0,0
1930,1930-06-17,"New",1,TRUE,0,0.905372143194044,0,0,0,0,0
1930,1930-06-17,"Old",0.9,FALSE,0,0.911559323483772,0,0,0,0,0
1930,1930-06-17,"Old",0.9,TRUE,0,0.911877083722076,0,0,0,0,0
1930,1930-06-17,"Old",1,FALSE,0,0.90582099645411,0,0,0,0,0
1930,1930-06-17,"Old",1,TRUE,0,0.905867669929019,0,0,0,0,0
1930,1930-06-22,"New",0.9,FALSE,0,0,0,0.91871210838704,0,0,0.920866019522375
1930,1930-06-22,"New",0.9,TRUE,0,0,0,0.918984747474769,0,0,0.920970067821202
1930,1930-06-22,"New",1,FALSE,0,0,0,0.911976489881103,0,0,0.91410360936564
1930,1930-06-22,"New",1,TRUE,0,0,0,0.912438241409307,0,0,0.914275175193146
1930,1930-06-22,"Old",0.9,FALSE,0,0,0,0.915642675983459,0,0,0.91726848583074
1930,1930-06-22,"Old",0.9,TRUE,0,0,0,0.915782689395271,0,0,0.917300258464734
1930,1930-06-22,"Old",1,FALSE,0,0,0,0.909122160115733,0,0,0.91074337970956
1930,1930-06-22,"Old",1,TRUE,0,0,0,0.909398980985739,0,0,0.91088869072103
1930,1930-06-24,"New",0.9,FALSE,0,0.930524573568747,0,0.926908888092904,0,0,0.928831214826086
1930,1930-06-24,"New",0.9,TRUE,0,0.930615884242368,0,0.928724060676982,0,0,0.930131457708468
1930,1930-06-24,"New",1,FALSE,0,0.919162018725481,0,0.918493261409265,0,0,0.921389237346153
1930,1930-06-24,"New",1,TRUE,0,0.91929861822453,0,0.920020288875466,0,0,0.922276912365879
1930,1930-06-24,"Old",0.9,FALSE,0,0.923715434292033,0,0.922639484008385,0,0,0.924375195140479
1930,1930-06-24,"Old",0.9,TRUE,0,0.923712781203002,0,0.923481091659938,0,0,0.9249553806257
1930,1930-06-24,"Old",1,FALSE,0,0.915171873285299,0,0.915325466743932,0,0,0.917681605695794
1930,1930-06-24,"Old",1,TRUE,0,0.915129271163404,0,0.916106397083861,0,0,0.918104599385796
1930,1930-06-26,"New",0.9,FALSE,0,0,0,0.927944273676028,0,0,0.935983141509759
1930,1930-06-26,"New",0.9,TRUE,0,0,0,0.930171125607641,0,0,0.936664897583867
1930,1930-06-26,"New",1,FALSE,0,0,0,0.920694273772598,0,0,0.927518597012952
1930,1930-06-26,"New",1,TRUE,0,0,0,0.922177387507654,0,0,0.928304215161123
1930,1930-06-26,"Old",0.9,FALSE,0,0,0,0.925598657994065,0,0,0.931256281049372
1930,1930-06-26,"Old",0.9,TRUE,0,0,0,0.926814934167922,0,0,0.931603686784302
1930,1930-06-26,"Old",1,FALSE,0,0,0,0.918582020945188,0,0,0.923513863032965
