"Year","AltNA","Alt1","Alt1a","Alt1b","Alt2","Alt2a","Alt2b"
1930,0,0,0,0.890452796799167,0,0,0.895325006258891
1931,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0
1935,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0
1940,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0
1949,0,0,0,0.952292387685677,0,0,0.945001187449591
1950,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0
1953,0,0,0,0,0.876418835225083,0,0
1954,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0
1966,0,0.946007845118464,0,0.885594154854147,0,0,0.887763798258238
1967,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0
1975,0.964257728081552,0.965368008734917,0.963815425974869,0.959331523624233,0.965236126300265,0.964016436807986,0.964261414576066
1976,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0
1980,0,0.947367114687342,0,0.917545726261928,0.949018533380797,0,0.916873185992043
1981,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0.966904856752285
1983,0,0.934453603310575,0,0.924224186749868,0.928852095637488,0,0.923426293090712
1984,0,0,0,0,0,0,0
1985,0,0.870363244799086,0,0.899579053133483,0.895598823502275,0,0.860894861292211
1986,0,0.966908910228629,0,0,0.966908910406306,0,0.966908910525836
1987,0,0.966023259937798,0.966892197984644,0.953235238098127,0.962420073016051,0.966377589462154,0.949695708046107
1988,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
1994,0,0,0,0.949152071261529,0,0,0
1995,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0
2000,0,0.868750469871741,0.86166766457778,0.854101861707881,0.869234205773773,0.869059686340902,0.861676184754422
2001,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0.773656609898901,0.775323179993631,0.77526794626107,0.774544260338507,0.772909305089755,0.775278968060249,0.773041745475833
2012,0,0.893936223843864,0.878344409040512,0.878697525640923,0.889702048733939,0,0.878848127720354
